marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms,veredicto_ia_es_amenaza,veredicto_ia_confianza,veredicto_ia_tipo,conexiones_origen_5s,puertos_distintos_origen_5s,ips_distintas_origen_60s,conexiones_mismo_destino_300s
1789524888.728979,192.168.18.22,192.168.18.6,5900,32103,6,0.001000,1,0,80,0,1000.000000,64,0,80000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,80,0,0,0,ninguno,0,,0.000000,13.822800,0,0.995768,benigno,0,0,0,0
1789524888.742079,192.168.18.22,192.168.18.6,5900,32103,6,0.001000,1,0,7354,0,1000.000000,64,0,7354000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,2,7434,0,0,0,ninguno,0,,0.000000,12.253900,0,0.998815,benigno,0,0,0,0
1789524888.753505,192.168.18.22,192.168.18.6,5900,32103,6,0.001000,1,0,5894,0,1000.000000,64,0,5894000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,3,13328,0,0,0,ninguno,0,,0.000000,11.013500,0,0.998902,benigno,0,0,0,0
1789524888.765925,192.168.18.6,192.168.18.22,32103,5900,6,0.001081,1,0,60,0,925.486320,128,0,55529.179170,0.000000,0.001081,0.001081,0.000000,0.000000,1,1,3,13328,1,60,0,ninguno,0,,0.000000,11.961700,0,0.999862,benigno,0,0,0,0
1789524888.795191,192.168.18.22,192.168.18.6,5900,32103,6,0.001101,1,0,14654,0,908.054557,64,0,13306631.482139,0.000000,0.001101,0.001101,0.000000,0.000000,1,1,4,27982,1,60,0,ninguno,0,,0.000000,28.798600,0,0.998220,benigno,0,0,0,0
1789524888.823584,192.168.18.22,192.168.18.6,5900,32103,6,0.001111,1,0,14654,0,900.258425,64,0,13192386.953423,0.000000,0.001111,0.001111,0.000000,0.000000,1,1,5,42636,1,60,0,ninguno,0,,0.000000,27.870300,0,0.997390,benigno,0,0,0,0
1789524888.837481,192.168.18.6,192.168.18.22,32103,5900,6,0.002438,1,0,60,0,410.241002,128,0,24614.460094,0.000000,0.002438,0.002438,0.000000,0.000000,1,1,5,42636,2,120,0,ninguno,0,,0.000000,13.435100,0,0.997991,benigno,0,0,0,0
1789524888.850656,192.168.18.22,192.168.18.6,5900,32103,6,0.002445,1,0,14654,0,408.921127,64,0,5992330.195574,0.000000,0.002445,0.002445,0.000000,0.000000,1,1,6,57290,2,120,0,ninguno,0,,0.000000,12.728800,0,0.986387,benigno,0,0,0,0
1789524888.864119,192.168.18.22,192.168.18.6,5900,32103,6,0.002454,1,0,14654,0,407.570110,64,0,5972532.389078,0.000000,0.002454,0.002454,0.000000,0.000000,1,1,7,71944,2,120,0,ninguno,0,,0.000000,12.991500,0,0.985812,benigno,0,0,0,0
1789524888.878803,192.168.18.6,192.168.18.22,32103,5900,6,0.002455,1,0,60,0,407.293067,128,0,24437.583997,0.000000,0.002455,0.002455,0.000000,0.000000,1,1,7,71944,3,180,0,ninguno,0,,0.000000,14.223900,0,0.998859,benigno,0,0,0,0
1789524888.892956,192.168.18.6,192.168.18.22,32103,5900,6,0.002462,1,0,60,0,406.109992,128,0,24366.599535,0.000000,0.002462,0.002462,0.000000,0.000000,1,1,7,71944,4,240,0,ninguno,0,,0.000000,13.695200,0,0.999554,benigno,0,0,0,0
1789524888.913029,192.168.18.22,192.168.18.6,5900,32103,6,0.002489,1,0,14654,0,401.753257,64,0,5887292.223755,0.000000,0.002489,0.002489,0.000000,0.000000,1,1,8,86598,4,240,0,ninguno,0,,0.000000,19.623000,0,0.994099,benigno,0,0,0,0
1789524888.926426,192.168.18.22,192.168.18.6,5900,32103,6,0.002498,1,0,14654,0,400.372661,64,0,5867060.979000,0.000000,0.002498,0.002498,0.000000,0.000000,1,1,9,101252,4,240,0,ninguno,0,,0.000000,12.904400,0,0.994621,benigno,0,0,0,0
1789524888.940701,192.168.18.6,192.168.18.22,32103,5900,6,0.003521,1,0,60,0,284.013001,128,0,17040.780065,0.000000,0.003521,0.003521,0.000000,0.000000,1,1,9,101252,5,300,0,ninguno,0,,0.000000,13.805400,0,0.999408,benigno,0,0,0,0
