marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms,veredicto_ia_es_amenaza,veredicto_ia_confianza
1788744516.209234,192.168.18.8,192.168.18.22,40328,5900,6,0.001000,1,0,88,0,1000.000000,128,0,88000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,88,0,0,0,ninguno,0,,0.000000,1.264300,0,0.000000
1788744516.212901,192.168.18.22,192.168.18.8,5900,40328,6,0.001000,1,0,54,0,1000.000000,64,0,54000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,88,1,54,0,ninguno,0,,0.000000,1.367200,0,0.000000
1788744516.215125,192.168.18.22,192.168.18.8,5900,40328,6,0.026061,1,0,80,0,38.371428,64,0,3069.714202,0.000000,0.026061,0.026061,0.000000,0.000000,1,1,1,88,2,134,0,ninguno,0,,0.000000,1.015100,0,0.000000
1788744516.216204,192.168.18.22,192.168.18.8,5900,40328,6,0.026155,1,0,14654,0,38.233266,64,0,560270.282636,0.000000,0.026155,0.026155,0.000000,0.000000,1,1,1,88,3,14788,0,ninguno,0,,0.000000,0.661800,0,0.000000
1788744516.217186,192.168.18.22,192.168.18.8,5900,40328,6,0.026174,1,0,1860,0,38.206101,64,0,71063.348303,0.000000,0.026174,0.026174,0.000000,0.000000,1,1,1,88,4,16648,0,ninguno,0,,0.000000,0.635100,0,0.000000
1788744516.218169,192.168.18.22,192.168.18.8,5900,40328,6,0.026243,1,0,14654,0,38.105441,64,0,558397.132905,0.000000,0.026243,0.026243,0.000000,0.000000,1,1,1,88,5,31302,0,ninguno,0,,0.000000,0.649800,0,0.000000
1788744516.219130,192.168.18.22,192.168.18.8,5900,40328,6,0.026262,1,0,1860,0,38.077420,64,0,70824.001743,0.000000,0.026262,0.026262,0.000000,0.000000,1,1,1,88,6,33162,0,ninguno,0,,0.000000,0.623900,0,0.000000
1788744516.220104,192.168.18.22,192.168.18.8,5900,40328,6,0.026333,1,0,14654,0,37.975717,64,0,556496.154862,0.000000,0.026333,0.026333,0.000000,0.000000,1,1,1,88,7,47816,0,ninguno,0,,0.000000,0.645100,0,0.000000
1788744516.221055,192.168.18.22,192.168.18.8,5900,40328,6,0.026392,1,0,14654,0,37.890294,64,0,555244.370311,0.000000,0.026392,0.026392,0.000000,0.000000,1,1,1,88,8,62470,0,ninguno,0,,0.000000,0.619600,0,0.000000
1788744516.221993,192.168.18.22,192.168.18.8,5900,40328,6,0.026454,1,0,14654,0,37.801166,64,0,553938.289752,0.000000,0.026454,0.026454,0.000000,0.000000,1,1,1,88,9,77124,0,ninguno,0,,0.000000,0.612100,0,0.000000
