marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms,veredicto_ia_es_amenaza,veredicto_ia_confianza
1788739274.137552,192.168.18.24,192.168.18.11,33091,137,17,0.001000,1,0,92,0,1000.000000,64,0,92000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,92,0,0,0,ninguno,0,,0.000000,9.856300,0,0.000000
1788739274.152185,192.168.18.22,192.168.18.8,5900,40328,6,0.001000,1,0,54,0,1000.000000,64,0,54000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,54,0,0,0,ninguno,0,,0.000000,0.543800,0,0.000000
1788739274.152934,192.168.18.22,192.168.18.8,5900,40328,6,0.004855,1,0,80,0,205.976722,64,0,16478.137799,0.000000,0.004855,0.004855,0.000000,0.000000,1,1,2,134,0,0,0,ninguno,0,,0.000000,0.505300,0,0.000000
1788739274.153650,192.168.18.22,192.168.18.8,5900,40328,6,0.004943,1,0,13194,0,202.310631,64,0,2669286.464210,0.000000,0.004943,0.004943,0.000000,0.000000,1,1,3,13328,0,0,0,ninguno,0,,0.000000,0.496000,0,0.000000
1788739274.154288,192.168.18.22,192.168.18.8,5900,40328,6,0.004960,1,0,3320,0,201.620151,64,0,669378.901120,0.000000,0.004960,0.004960,0.000000,0.000000,1,1,4,16648,0,0,0,ninguno,0,,0.000000,0.436500,0,0.000000
1788739274.155034,192.168.18.22,192.168.18.8,5900,40328,6,0.005023,1,0,10274,0,199.093559,64,0,2045487.221531,0.000000,0.005023,0.005023,0.000000,0.000000,1,1,5,26922,0,0,0,ninguno,0,,0.000000,0.552900,0,0.000000
1788739274.156119,192.168.18.8,192.168.18.22,40328,5900,6,0.006512,1,0,60,0,153.570006,128,0,9214.200351,0.000000,0.006512,0.006512,0.000000,0.000000,1,1,5,26922,1,60,0,ninguno,0,,0.000000,0.761800,0,0.000000
1788739274.156967,192.168.18.22,192.168.18.8,5900,40328,6,0.006531,1,0,14654,0,153.121495,64,0,2243842.392523,0.000000,0.006531,0.006531,0.000000,0.000000,1,1,6,41576,1,60,0,ninguno,0,,0.000000,0.634900,0,0.000000
1788739274.157650,192.168.18.22,192.168.18.8,5900,40328,6,0.006538,1,0,14654,0,152.942824,64,0,2241224.140023,0.000000,0.006538,0.006538,0.000000,0.000000,1,1,7,56230,1,60,0,ninguno,0,,0.000000,0.435300,0,0.000000
1788739274.158313,192.168.18.8,192.168.18.22,40328,5900,6,0.006540,1,0,60,0,152.909369,128,0,9174.562158,0.000000,0.006540,0.006540,0.000000,0.000000,1,1,7,56230,2,120,0,ninguno,0,,0.000000,0.455100,0,0.000000
1788739274.158993,192.168.18.22,192.168.18.8,5900,40328,6,0.006570,1,0,14308,0,152.210190,64,0,2177823.400784,0.000000,0.006570,0.006570,0.000000,0.000000,1,1,8,70538,2,120,0,ninguno,0,,0.000000,0.474800,0,0.000000
1788739274.159655,192.168.18.8,192.168.18.22,40328,5900,6,0.006996,1,0,60,0,142.940531,128,0,8576.431858,0.000000,0.006996,0.006996,0.000000,0.000000,1,1,8,70538,3,180,0,ninguno,0,,0.000000,0.444800,0,0.000000
1788739274.160357,192.168.18.8,192.168.18.22,40328,5900,6,0.007569,1,0,60,0,132.120708,128,0,7927.242487,0.000000,0.007569,0.007569,0.000000,0.000000,1,1,8,70538,4,240,0,ninguno,0,,0.000000,0.463000,0,0.000000
1788739274.161035,192.168.18.8,192.168.18.22,40328,5900,6,0.008024,1,0,60,0,124.619069,128,0,7477.144130,0.000000,0.008024,0.008024,0.000000,0.000000,1,1,8,70538,5,300,0,ninguno,0,,0.000000,0.470700,0,0.000000
1788739274.161685,192.168.18.8,192.168.18.22,40328,5900,6,0.008027,1,0,60,0,124.585754,128,0,7475.145250,0.000000,0.008027,0.008027,0.000000,0.000000,1,1,8,70538,6,360,0,ninguno,0,,0.000000,0.434400,0,0.000000
1788739274.162326,192.168.18.8,192.168.18.22,40328,5900,6,0.008029,1,0,60,0,124.548759,128,0,7472.925526,0.000000,0.008029,0.008029,0.000000,0.000000,1,1,8,70538,7,420,0,ninguno,0,,0.000000,0.437600,0,0.000000
1788739274.163004,192.168.18.8,192.168.18.22,40328,5900,6,0.008030,1,0,60,0,124.526572,128,0,7471.594323,0.000000,0.008030,0.008030,0.000000,0.000000,1,1,8,70538,8,480,0,ninguno,0,,0.000000,0.470400,0,0.000000
1788739274.163782,192.168.18.8,192.168.18.22,40328,5900,6,0.008878,1,0,60,0,112.632026,128,0,6757.921534,0.000000,0.008878,0.008878,0.000000,0.000000,1,1,8,70538,9,540,0,ninguno,0,,0.000000,0.461100,0,0.000000
1788739274.164443,192.168.18.8,192.168.18.22,40328,5900,6,0.012167,1,0,88,0,82.189685,128,0,7232.692272,0.000000,0.012167,0.012167,0.000000,0.000000,1,1,8,70538,10,628,0,ninguno,0,,0.000000,0.439800,0,0.000000
