probabilidad,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,duracion,pps_flujo
0.38321,6,3324,0,0,0.001,6000.0
0.516334,16,8864,0,0,0.002484,6441.626416
0.591996,26,14404,0,0,0.002544,10221.380073
0.695446,36,19944,0,0,0.007847,4587.8386
0.683555,46,25484,0,0,0.007863,5849.973742
0.699085,56,31024,0,0,0.009069,6174.742343
0.699085,66,36564,0,0,0.009089,7261.339978
0.699085,76,42104,0,0,0.010333,7355.371821
0.724697,86,47644,0,0,0.011357,7572.535248
0.77046,95,52630,0,0,0.019958,4759.991399
0.77046,105,58170,0,0,0.021697,4839.475176
0.77046,115,63710,0,0,0.022866,5029.246361
0.926029,125,69250,0,0,0.023954,5218.249861
0.926029,135,74790,0,0,0.024821,5438.933405
0.926029,145,80330,0,0,0.034074,4255.435533
0.926029,155,85870,0,0,0.035438,4373.887349
0.926029,165,91410,0,0,0.035451,4654.257468
0.926029,175,96950,0,0,0.03738,4681.680295
0.926029,185,102490,0,0,0.0374,4946.46004
0.926029,195,108030,0,0,0.037631,5181.893104
0.940359,205,113570,0,0,0.039167,5234.039579
0.968419,215,119110,0,0,0.039181,5487.287619
0.968419,225,124650,0,0,0.040757,5520.467508
0.968419,235,130190,0,0,0.040781,5762.484449
0.968419,245,135730,0,0,0.041345,5925.69547
0.968419,255,141270,0,0,0.042905,5943.416521
0.968419,265,146810,0,0,0.042928,6173.129912
0.974429,275,152350,0,0,0.044878,6127.723235
0.974429,285,157890,0,0,0.044894,6348.323615
0.974429,295,163430,0,0,0.045511,6481.914421
0.974429,305,168970,0,0,0.047222,6458.835124
0.974429,315,174510,0,0,0.047246,6667.200363
0.974429,325,180050,0,0,0.049036,6627.780155
0.974429,335,185590,0,0,0.049115,6820.734844
0.974429,345,191130,0,0,0.049143,7020.31758
0.974429,355,196670,0,0,0.051029,6956.832982
0.974429,365,202210,0,0,0.05108,7145.722194
0.974429,375,207750,0,0,0.052337,7165.145137
0.974429,385,213290,0,0,0.052918,7275.445883
0.974429,395,218830,0,0,0.052973,7456.590784
0.974429,405,224370,0,0,0.054156,7478.353849
0.974429,415,229910,0,0,0.054358,7634.536547
0.974429,425,235450,0,0,0.072538,5859.025456
0.974429,435,240990,0,0,0.072554,5995.505447
0.974429,445,246530,0,0,0.0726,6129.486053
0.974429,455,252070,0,0,0.073677,6175.639016
0.974429,465,257610,0,0,0.073698,6309.550162
0.974429,474,262596,0,0,0.074623,6351.89955
0.974429,484,268136,0,0,0.074649,6483.668644
0.974429,494,273676,0,0,0.075422,6549.829539
0.974429,504,279216,0,0,0.07672,6569.36354
0.974429,514,284756,0,0,0.076741,6697.855553
0.974429,524,290296,0,0,0.078121,6707.527516
0.974429,534,295836,0,0,0.078832,6773.906564
0.974429,544,301376,0,0,0.079511,6841.806377
0.974429,554,306916,0,0,0.080868,6850.669741
0.974429,564,312456,0,0,0.080882,6973.135646
0.974429,574,317996,0,0,0.08236,6969.420325
0.974429,584,323536,0,0,0.082462,7082.043698
0.974429,594,329076,0,0,0.083229,7136.970764
0.974429,604,334616,0,0,0.084467,7150.727154
0.974429,614,340156,0,0,0.084488,7267.291033
0.974429,622,344588,0,0,0.085984,7233.86457
0.974429,632,350128,0,0,0.086001,7348.779024
0.974429,642,355668,0,0,0.086511,7421.010015
0.974429,652,361208,0,0,0.087703,7434.222574
0.974429,662,366748,0,0,0.089034,7435.39487
0.974429,672,372288,0,0,0.090677,7410.898719
0.974429,682,377828,0,0,0.090693,7519.91453
0.974429,692,383368,0,0,0.09101,7603.57214
0.974429,702,388908,0,0,0.106366,6599.873149
0.974429,712,394448,0,0,0.106375,6693.288316
0.974429,722,399988,0,0,0.106972,6749.431073
