probabilidad,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,duracion,pps_flujo
0.470818,123,68142,0,0,0.020854,5898.015228
0.470818,133,73682,0,0,0.020869,6373.22981
0.470818,143,79222,0,0,0.022947,6231.731607
0.470818,153,84762,0,0,0.023862,6411.899125
0.470818,163,90302,0,0,0.024333,6698.590582
0.470818,173,95842,0,0,0.025427,6803.763673
0.470818,183,101382,0,0,0.025653,7133.766736
0.470818,193,106922,0,0,0.026653,7241.326714
0.470818,203,112462,0,0,0.027511,7378.898439
0.685466,213,118002,0,0,0.028,7607.176022
0.685466,223,123542,0,0,0.029195,7638.400601
0.685466,233,129082,0,0,0.02941,7922.441993
0.685466,243,134622,0,0,0.030006,8098.463064
0.685466,253,140162,0,0,0.030982,8166.027272
0.685466,263,145702,0,0,0.031629,8315.131326
0.730328,273,151242,0,0,0.035269,7740.503836
0.730328,283,156782,0,0,0.035365,8002.292387
0.730328,293,162322,0,0,0.036041,8129.517772
0.730328,303,167862,0,0,0.036871,8217.903432
0.730328,313,173402,0,0,0.037313,8388.3936
0.730328,323,178942,0,0,0.038454,8399.686224
0.730328,333,184482,0,0,0.039387,8454.620048
0.730328,343,190022,0,0,0.039975,8580.327027
0.730328,353,195562,0,0,0.046895,7527.412323
0.730328,363,201102,0,0,0.046915,7737.427783
0.730328,373,206642,0,0,0.047569,7841.274431
0.730328,383,212182,0,0,0.047583,8049.07571
0.730328,393,217722,0,0,0.048006,8186.426187
0.730328,403,223262,0,0,0.048808,8256.826589
0.730328,413,228802,0,0,0.049293,8378.46458
0.730328,423,234342,0,0,0.05044,8386.268568
0.730328,433,239882,0,0,0.050962,8496.452113
0.730328,443,245422,0,0,0.05165,8576.992047
0.730328,453,250962,0,0,0.052407,8643.879114
0.730328,463,256502,0,0,0.05301,8734.203256
0.730328,473,262042,0,0,0.054065,8748.768729
0.730328,483,267582,0,0,0.054328,8890.488013
0.730328,493,273122,0,0,0.055745,8843.898345
0.730328,503,278662,0,0,0.056667,8876.367014
0.730328,513,284202,0,0,0.057322,8949.402322
0.730328,523,289742,0,0,0.058467,8945.157575
0.730328,533,295282,0,0,0.058658,9086.624417
0.730328,543,300822,0,0,0.059317,9154.26168
0.730328,553,306362,0,0,0.060081,9204.313211
0.730328,563,311902,0,0,0.061058,9220.69822
0.730328,573,317442,0,0,0.062198,9212.455552
0.730328,583,322982,0,0,0.062346,9351.007966
0.730328,593,328522,0,0,0.062979,9415.803933
0.730328,603,334062,0,0,0.104084,5793.37027
0.730328,613,339602,0,0,0.104097,5888.717665
0.730328,623,345142,0,0,0.104746,5947.701751
0.730328,633,350682,0,0,0.104759,6042.427791
0.730328,643,356222,0,0,0.105426,6099.046727
0.730328,653,361762,0,0,0.106201,6148.708046
0.730328,663,367302,0,0,0.106842,6205.436298
0.730328,673,372842,0,0,0.107871,6238.957904
0.730328,683,378382,0,0,0.108138,6316.01262
0.730328,693,383922,0,0,0.108763,6371.639358
0.730328,703,389462,0,0,0.109886,6397.529404
0.730328,713,395002,0,0,0.110596,6446.905077
0.730328,723,400542,0,0,0.111736,6470.633479
0.730328,733,406082,0,0,0.111918,6549.411683
0.730328,743,411622,0,0,0.112584,6599.496143
0.730328,753,417162,0,0,0.113427,6638.649431
0.730328,763,422702,0,0,0.114229,6679.538965
0.730328,773,428242,0,0,0.11623,6650.578643
0.730328,783,433782,0,0,0.116725,6708.062674
0.730328,793,439322,0,0,0.11739,6755.251279
0.730328,803,444862,0,0,0.118166,6795.540385
0.730328,813,450402,0,0,0.118741,6846.84641
0.730328,823,455942,0,0,0.190173,4327.640551
0.730328,833,461482,0,0,0.190185,4379.94972
0.730328,843,467022,0,0,0.190197,4432.246776
0.730328,853,472562,0,0,0.190785,4471.003002
0.730328,863,478102,0,0,0.191063,4516.836481
0.730328,873,483642,0,0,0.191872,4549.916736
0.730328,883,489182,0,0,0.191884,4601.743289
0.730328,893,494722,0,0,0.19203,4650.304646
0.730328,903,500262,0,0,0.192681,4686.500758
0.730328,913,505802,0,0,0.192705,4737.813746
0.730328,923,511342,0,0,0.193484,4770.430375
0.730328,933,516882,0,0,0.194655,4793.091045
0.730328,943,522422,0,0,0.195312,4828.183575
0.730328,953,527962,0,0,0.195929,4863.999688
0.730328,963,533502,0,0,0.195979,4913.782839
0.730328,973,539042,0,0,0.196855,4942.722628
0.730328,983,544582,0,0,0.197001,4989.810806
0.730328,993,550122,0,0,0.19732,5032.441102
0.730328,1003,555662,0,0,0.197945,5067.061064
0.730328,1013,561202,0,0,0.198118,5113.115144
0.730328,1023,566742,0,0,0.198781,5146.360586
0.730328,1033,572282,0,0,0.198793,5196.355515
0.730328,1043,577822,0,0,0.19896,5242.264298
0.730328,1053,583362,0,0,0.199905,5267.497924
0.730328,1063,588902,0,0,0.199945,5316.462745
0.730328,1073,594442,0,0,0.201375,5328.360963
0.730328,1083,599982,0,0,0.201655,5370.567346
0.730328,1093,605522,0,0,0.201889,5413.858621
0.730328,1103,611062,0,0,0.278375,3962.275585
0.730328,1113,616602,0,0,0.278388,3998.020244
0.730328,1123,622142,0,0,0.279003,4025.044258
0.730328,1133,627682,0,0,0.293274,3863.279273
0.730328,1143,633222,0,0,0.293394,3895.787177
0.730328,1153,638762,0,0,0.294,3921.763543
0.730328,1163,644302,0,0,0.294013,3955.613506
0.730328,1173,649842,0,0,0.294611,3981.528149
0.730328,1183,655382,0,0,0.309926,3817.045663
0.730328,1193,660922,0,0,0.309967,3848.802219
0.730328,1203,666462,0,0,0.310579,3873.41581
0.730328,1213,672002,0,0,0.310591,3905.457881
0.730328,1223,677542,0,0,0.311233,3929.537363
0.730328,1233,683082,0,0,0.321979,3829.441747
0.730328,1243,688622,0,0,0.322561,3853.537223
0.730328,1253,694162,0,0,0.323475,3873.564797
0.730328,1263,699702,0,0,0.324271,3894.893685
0.730328,1273,705242,0,0,0.325437,3911.6597
0.730328,1283,710782,0,0,0.325943,3936.271148
0.730328,1297,718538,0,0,0.342295,3789.132658
0.730328,1305,722970,0,0,0.342521,3809.988557
0.730328,1315,728510,0,0,0.343161,3832.016691
0.730328,1325,734050,0,0,0.343521,3857.113668
0.730328,1335,739590,0,0,0.344174,3878.847636
0.730328,1345,745130,0,0,0.345285,3895.333531
0.730328,1355,750670,0,0,0.345823,3918.188801
0.730328,1365,756210,0,0,0.34746,3928.512096
0.730328,1375,761750,0,0,0.348436,3946.209402
0.730328,1385,767290,0,0,0.349409,3963.834905
0.730328,1404,777816,0,0,0.396718,3539.035453
0.730328,1414,783356,0,0,0.39737,3558.397696
0.730328,1424,788896,0,0,0.397382,3583.449216
0.730328,1434,794436,0,0,0.398107,3602.046217
0.730328,1444,799976,0,0,0.399562,3613.956194
