marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms
1788570023.349329,192.168.18.22,192.168.18.9,5900,23935,6,0.001000,1,0,80,0,1000.000000,64,0,80000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,80,0,0,0,ninguno,0,,0.000000,0.745900
1788570023.352454,192.168.18.22,192.168.18.9,5900,23935,6,0.001000,1,0,14654,0,1000.000000,64,0,14654000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,2,14734,0,0,0,ninguno,0,,0.000000,0.912200
1788570023.353222,192.168.18.22,192.168.18.9,5900,23935,6,0.001000,1,0,1860,0,1000.000000,64,0,1860000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,3,16594,0,0,0,ninguno,0,,0.000000,0.390800
1788570023.354074,192.168.18.22,192.168.18.9,5900,23935,6,0.001000,1,0,10274,0,1000.000000,64,0,10274000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,4,26868,0,0,0,ninguno,0,,0.000000,0.424900
1788570023.354887,192.168.18.9,192.168.18.22,23935,5900,6,0.003053,1,0,60,0,327.552050,128,0,19653.122999,0.000000,0.003053,0.003053,0.000000,0.000000,1,1,4,26868,1,60,0,ninguno,0,,0.000000,0.488600
1788570023.355577,192.168.18.22,192.168.18.9,5900,23935,6,0.003056,1,0,7049,0,327.219847,64,0,2306572.702138,0.000000,0.003056,0.003056,0.000000,0.000000,1,1,5,33917,1,60,0,ninguno,0,,0.000000,0.372400
1788570023.356271,192.168.18.9,192.168.18.22,23935,5900,6,0.003058,1,0,60,0,327.041248,128,0,19622.474854,0.000000,0.003058,0.003058,0.000000,0.000000,1,1,5,33917,2,120,0,ninguno,0,,0.000000,0.378300
1788570023.356917,192.168.18.9,192.168.18.22,23935,5900,6,0.003820,1,0,60,0,261.800387,128,0,15708.023220,0.000000,0.003820,0.003820,0.000000,0.000000,1,1,5,33917,3,180,0,ninguno,0,,0.000000,0.327500
1788570023.357569,192.168.18.9,192.168.18.22,23935,5900,6,0.008577,1,0,105,0,116.589409,128,0,12241.887978,0.000000,0.008577,0.008577,0.000000,0.000000,1,1,5,33917,4,285,0,ninguno,0,,0.000000,0.338700
1788570023.358244,192.168.18.22,192.168.18.9,5900,23935,6,0.050597,1,0,54,0,19.764129,64,0,1067.262984,0.000000,0.050597,0.050597,0.000000,0.000000,1,1,6,33971,4,285,0,ninguno,0,,0.000000,0.364200
