marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms,veredicto_ia_es_amenaza,veredicto_ia_confianza
1789041006.340903,192.168.18.22,192.168.18.6,5900,63547,6,0.001000,1,0,80,0,1000.000000,64,0,80000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,80,0,0,0,ninguno,0,,0.000000,1.152300,0,0.000004
1789041006.343727,192.168.18.22,192.168.18.6,5900,63547,6,0.001000,1,0,14654,0,1000.000000,64,0,14654000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,2,14734,0,0,0,ninguno,0,,0.000000,0.439000,0,0.000001
1789041006.344556,192.168.18.22,192.168.18.6,5900,63547,6,0.001000,1,0,1860,0,1000.000000,64,0,1860000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,3,16594,0,0,0,ninguno,0,,0.000000,0.520500,0,0.000002
1789041006.345234,192.168.18.22,192.168.18.6,5900,63547,6,0.001000,1,0,14654,0,1000.000000,64,0,14654000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,4,31248,0,0,0,ninguno,0,,0.000000,0.450500,0,0.000002
1789041006.345879,192.168.18.22,192.168.18.6,5900,63547,6,0.001000,1,0,1860,0,1000.000000,64,0,1860000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,5,33108,0,0,0,ninguno,0,,0.000000,0.434100,0,0.000002
1789041006.347164,192.168.18.6,192.168.18.22,63547,5900,6,0.001262,1,0,60,0,792.574452,128,0,47554.467120,0.000000,0.001262,0.001262,0.000000,0.000000,1,1,5,33108,1,60,0,ninguno,0,,0.000000,1.077000,0,0.090741
1789041006.348081,192.168.18.22,192.168.18.6,5900,63547,6,0.001286,1,0,14654,0,777.586948,64,0,11394759.142751,0.000000,0.001286,0.001286,0.000000,0.000000,1,1,6,47762,1,60,0,ninguno,0,,0.000000,0.589700,0,0.000001
1789041006.348787,192.168.18.22,192.168.18.6,5900,63547,6,0.001296,1,0,14654,0,771.579102,64,0,11306720.164827,0.000000,0.001296,0.001296,0.000000,0.000000,1,1,7,62416,1,60,0,ninguno,0,,0.000000,0.468400,0,0.000001
1789041006.349494,192.168.18.6,192.168.18.22,63547,5900,6,0.001298,1,0,60,0,770.445261,128,0,46226.715650,0.000000,0.001298,0.001298,0.000000,0.000000,1,1,7,62416,2,120,0,ninguno,0,,0.000000,0.487100,0,0.338548
1789041006.350184,192.168.18.22,192.168.18.6,5900,63547,6,0.001309,1,0,14654,0,763.989800,64,0,11195506.523862,0.000000,0.001309,0.001309,0.000000,0.000000,1,1,8,77070,2,120,0,ninguno,0,,0.000000,0.449800,0,0.000001
1789041006.350892,192.168.18.6,192.168.18.22,63547,5900,6,0.001310,1,0,60,0,763.155750,128,0,45789.344978,0.000000,0.001310,0.001310,0.000000,0.000000,1,1,8,77070,3,180,0,ninguno,0,,0.000000,0.470200,0,0.367741
1789041006.351542,192.168.18.6,192.168.18.22,63547,5900,6,0.001312,1,0,60,0,762.184990,128,0,45731.099400,0.000000,0.001312,0.001312,0.000000,0.000000,1,1,8,77070,4,240,0,ninguno,0,,0.000000,0.434300,0,0.403389
