marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms
1788646411.606102,192.168.18.6,192.168.18.22,3370,5900,6,0.001000,1,0,93,0,1000.000000,128,0,93000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,93,0,0,0,ninguno,0,,0.000000,0.478400
1788646411.609004,192.168.18.22,192.168.18.6,5900,3370,6,0.027171,1,0,80,0,36.804086,64,0,2944.326843,0.000000,0.027171,0.027171,0.000000,0.000000,1,1,1,93,1,80,0,ninguno,0,,0.000000,0.471100
1788646411.609626,192.168.18.22,192.168.18.6,5900,3370,6,0.027258,1,0,14654,0,36.686907,64,0,537609.933052,0.000000,0.027258,0.027258,0.000000,0.000000,1,1,1,93,2,14734,0,ninguno,0,,0.000000,0.320900
1788646411.610148,192.168.18.22,192.168.18.6,5900,3370,6,0.027273,1,0,1860,0,36.666702,64,0,68200.065041,0.000000,0.027273,0.027273,0.000000,0.000000,1,1,1,93,3,16594,0,ninguno,0,,0.000000,0.314300
1788646411.610582,192.168.18.22,192.168.18.6,5900,3370,6,0.027334,1,0,14654,0,36.584188,64,0,536104.692764,0.000000,0.027334,0.027334,0.000000,0.000000,1,1,1,93,4,31248,0,ninguno,0,,0.000000,0.229800
1788646411.610967,192.168.18.6,192.168.18.22,3370,5900,6,0.027926,1,0,60,0,35.809270,128,0,2148.556207,0.000000,0.027926,0.027926,0.000000,0.000000,1,1,2,153,4,31248,0,ninguno,0,,0.000000,0.126800
1788646411.611089,192.168.18.22,192.168.18.6,5900,3370,6,0.027948,1,0,4525,0,35.780860,64,0,161908.392623,0.000000,0.027948,0.027948,0.000000,0.000000,1,1,2,153,5,35773,0,ninguno,0,,0.000000,0.062000
1788646411.611223,192.168.18.6,192.168.18.22,3370,5900,6,0.027955,1,0,60,0,35.771400,128,0,2146.284018,0.000000,0.027955,0.027955,0.000000,0.000000,1,1,3,213,5,35773,0,ninguno,0,,0.000000,0.082000
1788646411.611538,192.168.18.6,192.168.18.22,3370,5900,6,0.027957,1,0,60,0,35.768960,128,0,2146.137591,0.000000,0.027957,0.027957,0.000000,0.000000,1,1,4,273,5,35773,0,ninguno,0,,0.000000,0.246300
1788646411.612031,192.168.18.6,192.168.18.22,3370,5900,6,0.027959,1,0,60,0,35.767130,128,0,2146.027783,0.000000,0.027959,0.027959,0.000000,0.000000,1,1,5,333,5,35773,0,ninguno,0,,0.000000,0.286300
1788646411.612476,192.168.18.6,192.168.18.22,3370,5900,6,0.027960,1,0,60,0,35.764995,128,0,2145.899688,0.000000,0.027960,0.027960,0.000000,0.000000,1,1,6,393,5,35773,0,ninguno,0,,0.000000,0.238400
1788646411.612922,192.168.18.6,192.168.18.22,3370,5900,6,0.027961,1,0,60,0,35.763470,128,0,2145.808201,0.000000,0.027961,0.027961,0.000000,0.000000,1,1,7,453,5,35773,0,ninguno,0,,0.000000,0.250600
1788646411.613364,192.168.18.6,192.168.18.22,3370,5900,6,0.028344,1,0,60,0,35.280643,128,0,2116.838599,0.000000,0.028344,0.028344,0.000000,0.000000,1,1,8,513,5,35773,0,ninguno,0,,0.000000,0.231800
1788646411.613805,192.168.18.6,192.168.18.22,3370,5900,6,0.028346,1,0,60,0,35.278269,128,0,2116.696161,0.000000,0.028346,0.028346,0.000000,0.000000,1,1,9,573,5,35773,0,ninguno,0,,0.000000,0.245500
1788646411.614248,192.168.18.6,192.168.18.22,3370,5900,6,0.028347,1,0,60,0,35.276489,128,0,2116.589345,0.000000,0.028347,0.028347,0.000000,0.000000,1,1,10,633,5,35773,0,ninguno,0,,0.000000,0.236800
