marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms,veredicto_ia_es_amenaza,veredicto_ia_confianza
1788827082.038613,192.168.18.7,192.168.18.22,40420,5900,6,0.001000,1,0,88,0,1000.000000,128,0,88000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,88,0,0,0,ninguno,0,,0.000000,1.165800,0,0.000319
1788827082.048958,192.168.18.22,192.168.18.7,5900,40420,6,0.001000,1,0,54,0,1000.000000,64,0,54000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,88,1,54,0,ninguno,0,,0.000000,2.502100,0,0.000000
1788827082.051412,192.168.18.22,192.168.18.7,5900,40420,6,0.022405,1,0,80,0,44.633550,64,0,3570.684034,0.000000,0.022405,0.022405,0.000000,0.000000,1,1,1,88,2,134,0,ninguno,0,,0.000000,2.244100,0,0.000017
1788827082.053277,192.168.18.22,192.168.18.7,5900,40420,6,0.022495,1,0,11734,0,44.453790,64,0,521620.772596,0.000000,0.022495,0.022495,0.000000,0.000000,1,1,1,88,3,11868,0,ninguno,0,,0.000000,1.059100,0,0.000013
1788827082.054717,192.168.18.22,192.168.18.7,5900,40420,6,0.022516,1,0,4780,0,44.413308,64,0,212295.613207,0.000000,0.022516,0.022516,0.000000,0.000000,1,1,1,88,4,16648,0,ninguno,0,,0.000000,0.805300,0,0.000009
1788827082.055847,192.168.18.22,192.168.18.7,5900,40420,6,0.022572,1,0,4434,0,44.302128,64,0,196435.637032,0.000000,0.022572,0.022572,0.000000,0.000000,1,1,1,88,5,21082,0,ninguno,0,,0.000000,0.639700,0,0.000009
1788827082.057725,192.168.18.7,192.168.18.22,40420,5900,6,0.023740,1,0,60,0,42.123328,128,0,2527.399671,0.000000,0.023740,0.023740,0.000000,0.000000,1,1,2,148,5,21082,0,ninguno,0,,0.000000,1.354500,0,0.000448
1788827082.060236,192.168.18.22,192.168.18.7,5900,40420,6,0.023757,1,0,11462,0,42.093736,64,0,482478.397142,0.000000,0.023757,0.023757,0.000000,0.000000,1,1,2,148,6,32544,0,ninguno,0,,0.000000,0.677800,0,0.000003
1788827082.065242,192.168.18.7,192.168.18.22,40420,5900,6,0.023759,1,0,60,0,42.088667,128,0,2525.320007,0.000000,0.023759,0.023759,0.000000,0.000000,1,1,3,208,6,32544,0,ninguno,0,,0.000000,3.087600,0,0.007587
1788827082.067960,192.168.18.7,192.168.18.22,40420,5900,6,0.024845,1,0,60,0,40.249734,128,0,2414.984022,0.000000,0.024845,0.024845,0.000000,0.000000,1,1,4,268,6,32544,0,ninguno,0,,0.000000,2.151400,0,0.018484
1788827082.070686,192.168.18.7,192.168.18.22,40420,5900,6,0.035223,1,0,93,0,28.390342,128,0,2640.301834,0.000000,0.035223,0.035223,0.000000,0.000000,1,1,5,361,6,32544,0,ninguno,0,,0.000000,1.740200,0,0.012423
1788827082.072628,192.168.18.22,192.168.18.7,5900,40420,6,0.077375,1,0,54,0,12.924002,64,0,697.896122,0.000000,0.077375,0.077375,0.000000,0.000000,1,1,5,361,7,32598,0,ninguno,0,,0.000000,1.116500,0,0.000008
1788827082.074557,192.168.18.8,140.82.113.21,61266,443,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,60,0,0,0,ninguno,0,,0.000000,1.144400,0,0.001264
1788827082.075615,140.82.113.21,192.168.18.8,443,61266,6,0.101712,1,0,66,0,9.831683,45,0,648.891060,0.000000,0.101712,0.101712,0.000000,0.000000,1,1,1,60,1,66,0,ninguno,0,,0.000000,0.673300,0,0.000001
1788827082.076681,192.168.18.7,192.168.18.22,40420,5900,6,1.344062,1,0,82,0,0.744014,128,0,61.009108,0.000000,1.344062,1.344062,0.000000,0.000000,1,1,6,443,7,32598,0,ninguno,0,,0.000000,0.733400,0,0.004896
1788827082.077620,192.168.18.22,192.168.18.7,5900,40420,6,1.344077,1,0,54,0,0.744005,64,0,40.176266,0.000000,1.344077,1.344077,0.000000,0.000000,1,1,6,443,8,32652,0,ninguno,0,,0.000000,0.605400,0,0.000011
1788827082.078619,192.168.18.7,192.168.18.22,40420,5900,6,1.406562,1,0,82,0,0.710953,128,0,58.298183,0.000000,1.406562,1.406562,0.000000,0.000000,1,1,7,525,8,32652,0,ninguno,0,,0.000000,0.675900,0,0.004896
1788827082.079544,192.168.18.22,192.168.18.7,5900,40420,6,1.406576,1,0,54,0,0.710946,64,0,38.391096,0.000000,1.406576,1.406576,0.000000,0.000000,1,1,7,525,9,32706,0,ninguno,0,,0.000000,0.595300,0,0.000011
