marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms
1788442867.695503,192.168.18.9,192.168.18.22,12556,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,60,0,0,0,ninguno,0,,0.000000,0.977200
1788442867.700438,192.168.18.22,192.168.18.9,5900,12556,6,0.001000,1,0,14654,0,1000.000000,64,0,14654000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,60,1,14654,0,ninguno,0,,0.000000,0.968100
1788442867.701310,192.168.18.9,192.168.18.22,12556,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,2,120,1,14654,0,ninguno,0,,0.000000,0.479500
1788442867.702050,192.168.18.9,192.168.18.22,12556,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,3,180,1,14654,0,ninguno,0,,0.000000,0.423400
1788442867.702713,192.168.18.9,192.168.18.22,12556,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,4,240,1,14654,0,ninguno,0,,0.000000,0.350300
1788442867.703393,192.168.18.22,192.168.18.9,5900,12556,6,0.001000,1,0,14654,0,1000.000000,64,0,14654000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,4,240,2,29308,0,ninguno,0,,0.000000,0.358200
1788442867.704063,192.168.18.9,192.168.18.22,12556,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,5,300,2,29308,0,ninguno,0,,0.000000,0.363400
1788442867.704721,192.168.18.9,192.168.18.22,12556,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,6,360,2,29308,0,ninguno,0,,0.000000,0.348800
1788442867.705385,192.168.18.9,192.168.18.22,12556,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,7,420,2,29308,0,ninguno,0,,0.000000,0.356100
1788442867.706056,192.168.18.9,192.168.18.22,12556,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,8,480,2,29308,0,ninguno,0,,0.000000,0.364200
1788442867.706740,192.168.18.22,192.168.18.9,5900,12556,6,0.001000,1,0,14654,0,1000.000000,64,0,14654000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,8,480,3,43962,0,ninguno,0,,0.000000,0.373800
1788442867.707378,192.168.18.9,192.168.18.22,12556,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,9,540,3,43962,0,ninguno,0,,0.000000,0.331300
1788442867.708066,192.168.18.9,192.168.18.22,12556,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,10,600,3,43962,0,ninguno,0,,0.000000,0.380300
1788442867.708927,192.168.18.9,192.168.18.22,12556,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,11,660,3,43962,0,ninguno,0,,0.000000,0.548900
1788442867.710154,192.168.18.9,192.168.18.22,12556,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,12,720,3,43962,0,ninguno,0,,0.000000,0.863200
1788442867.711143,192.168.18.9,192.168.18.22,12556,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,13,780,3,43962,0,ninguno,0,,0.000000,0.474600
1788442867.711605,192.168.18.22,192.168.18.9,5900,12556,6,0.001000,1,0,14654,0,1000.000000,64,0,14654000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,13,780,4,58616,0,ninguno,0,,0.000000,0.261500
1788442867.712152,192.168.18.9,192.168.18.22,12556,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,14,840,4,58616,0,ninguno,0,,0.000000,0.360300
1788442867.712661,192.168.18.9,192.168.18.22,12556,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,15,900,4,58616,0,ninguno,0,,0.000000,0.245300
