marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms,veredicto_ia_es_amenaza,veredicto_ia_confianza
1788828652.791583,192.168.18.7,192.168.18.22,40420,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,60,0,0,0,ninguno,0,,0.000000,1.009900,0,0.000717
1788828652.794443,192.168.18.7,192.168.18.22,40420,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,2,120,0,0,0,ninguno,0,,0.000000,0.830600,0,0.000078
1788828652.795382,192.168.18.7,192.168.18.22,40420,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,3,180,0,0,0,ninguno,0,,0.000000,0.616900,0,0.001839
1788828652.796490,192.168.18.7,192.168.18.22,40420,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,4,240,0,0,0,ninguno,0,,0.000000,0.899800,0,0.001975
1788828652.797557,192.168.18.7,192.168.18.22,40420,5900,6,0.011141,1,0,60,0,89.758052,128,0,5385.483105,0.000000,0.011141,0.011141,0.000000,0.000000,1,1,5,300,0,0,0,ninguno,0,,0.000000,0.662000,0,0.004886
1788828652.798580,192.168.18.7,192.168.18.22,40420,5900,6,0.016317,1,0,93,0,61.287082,128,0,5699.698584,0.000000,0.016317,0.016317,0.000000,0.000000,1,1,6,393,0,0,0,ninguno,0,,0.000000,0.676200,0,0.010875
1788828652.799714,192.168.18.22,192.168.18.7,5900,40420,6,0.031567,1,0,80,0,31.678315,64,0,2534.265236,0.000000,0.031567,0.031567,0.000000,0.000000,1,1,6,393,1,80,0,ninguno,0,,0.000000,0.781000,0,0.000032
1788828652.800766,192.168.18.22,192.168.18.7,5900,40420,6,0.031647,1,0,14654,0,31.598129,64,0,463038.977362,0.000000,0.031647,0.031647,0.000000,0.000000,1,1,6,393,2,14734,0,ninguno,0,,0.000000,0.647900,0,0.000056
1788828652.801751,192.168.18.22,192.168.18.7,5900,40420,6,0.031667,1,0,1860,0,31.579096,64,0,58737.119237,0.000000,0.031667,0.031667,0.000000,0.000000,1,1,6,393,3,16594,0,ninguno,0,,0.000000,0.645800,0,0.000056
1788828652.802728,192.168.18.22,192.168.18.7,5900,40420,6,0.031738,1,0,14654,0,31.507692,64,0,461713.723077,0.000000,0.031738,0.031738,0.000000,0.000000,1,1,6,393,4,31248,0,ninguno,0,,0.000000,0.615400,0,0.000054
1788828652.803696,192.168.18.22,192.168.18.7,5900,40420,6,0.031757,1,0,1860,0,31.489005,64,0,58569.549621,0.000000,0.031757,0.031757,0.000000,0.000000,1,1,6,393,5,33108,0,ninguno,0,,0.000000,0.632700,0,0.000054
1788828652.804864,192.168.18.22,192.168.18.7,5900,40420,6,0.031829,1,0,14654,0,31.417772,64,0,460396.033108,0.000000,0.031829,0.031829,0.000000,0.000000,1,1,6,393,6,47762,0,ninguno,0,,0.000000,0.809700,0,0.000027
1788828652.805810,192.168.18.22,192.168.18.7,5900,40420,6,0.031892,1,0,14654,0,31.356235,64,0,459494.260864,0.000000,0.031892,0.031892,0.000000,0.000000,1,1,6,393,7,62416,0,ninguno,0,,0.000000,0.603200,0,0.000027
1788828652.806764,192.168.18.22,192.168.18.7,5900,40420,6,0.031955,1,0,14654,0,31.294004,64,0,458582.327825,0.000000,0.031955,0.031955,0.000000,0.000000,1,1,6,393,8,77070,0,ninguno,0,,0.000000,0.595000,0,0.000027
1788828652.807722,192.168.18.22,192.168.18.7,5900,40420,6,0.032141,1,0,14654,0,31.112707,64,0,455925.605044,0.000000,0.032141,0.032141,0.000000,0.000000,1,1,6,393,9,91724,0,ninguno,0,,0.000000,0.624600,0,0.000027
1788828652.808682,192.168.18.22,192.168.18.7,5900,40420,6,0.032180,1,0,14654,0,31.075594,64,0,455381.754718,0.000000,0.032180,0.032180,0.000000,0.000000,1,1,6,393,10,106378,0,ninguno,0,,0.000000,0.606700,0,0.000033
1788828652.809651,192.168.18.7,192.168.18.22,40420,5900,6,0.032288,1,0,60,0,30.971187,128,0,1858.271233,0.000000,0.032288,0.032288,0.000000,0.000000,1,1,7,453,10,106378,0,ninguno,0,,0.000000,0.634500,0,0.007097
1788828652.811900,192.168.18.22,192.168.18.7,5900,40420,6,0.032303,1,0,4086,0,30.957243,64,0,126491.295431,0.000000,0.032303,0.032303,0.000000,0.000000,1,1,7,453,11,110464,0,ninguno,0,,0.000000,0.683900,0,0.000028
1788828652.812965,192.168.18.7,192.168.18.22,40420,5900,6,0.032304,1,0,60,0,30.955644,128,0,1857.338628,0.000000,0.032304,0.032304,0.000000,0.000000,1,1,8,513,11,110464,0,ninguno,0,,0.000000,0.662100,0,0.007191
1788828652.814011,192.168.18.7,192.168.18.22,40420,5900,6,0.033494,1,0,88,0,29.855885,128,0,2627.317877,0.000000,0.033494,0.033494,0.000000,0.000000,1,1,9,601,11,110464,0,ninguno,0,,0.000000,0.710000,0,0.038204
1788828652.814984,192.168.18.7,192.168.18.22,40420,5900,6,0.034312,1,0,60,0,29.144517,128,0,1748.671012,0.000000,0.034312,0.034312,0.000000,0.000000,1,1,10,661,11,110464,0,ninguno,0,,0.000000,0.638500,0,0.033537
1788828652.815970,192.168.18.7,192.168.18.22,40420,5900,6,0.034314,1,0,60,0,29.142289,128,0,1748.537363,0.000000,0.034314,0.034314,0.000000,0.000000,1,1,11,721,11,110464,0,ninguno,0,,0.000000,0.658300,0,0.032220
1788828652.816927,192.168.18.7,192.168.18.22,40420,5900,6,0.034318,1,0,60,0,29.139050,128,0,1748.343002,0.000000,0.034318,0.034318,0.000000,0.000000,1,1,12,781,11,110464,0,ninguno,0,,0.000000,0.626500,0,0.032220
1788828652.817927,192.168.18.7,192.168.18.22,40420,5900,6,0.034320,1,0,60,0,29.137633,128,0,1748.257982,0.000000,0.034320,0.034320,0.000000,0.000000,1,1,13,841,11,110464,0,ninguno,0,,0.000000,0.673600,0,0.032220
1788828652.818919,192.168.18.7,192.168.18.22,40420,5900,6,0.034325,1,0,60,0,29.133383,128,0,1748.002973,0.000000,0.034325,0.034325,0.000000,0.000000,1,1,14,901,11,110464,0,ninguno,0,,0.000000,0.643300,0,0.021487
1788828652.838241,192.168.18.7,192.168.18.22,40420,5900,6,0.036739,1,0,60,0,27.218949,128,0,1633.136961,0.000000,0.036739,0.036739,0.000000,0.000000,1,1,15,961,11,110464,0,ninguno,0,,0.000000,0.722100,0,0.021487
1788828652.839242,192.168.18.7,192.168.18.22,40420,5900,6,0.036742,1,0,60,0,27.216653,128,0,1632.999195,0.000000,0.036742,0.036742,0.000000,0.000000,1,1,16,1021,11,110464,0,ninguno,0,,0.000000,0.625600,0,0.021487
1788828652.840255,192.168.18.7,192.168.18.22,40420,5900,6,0.036744,1,0,60,0,27.215594,128,0,1632.935619,0.000000,0.036744,0.036744,0.000000,0.000000,1,1,17,1081,11,110464,0,ninguno,0,,0.000000,0.678300,0,0.021487
1788828652.842424,192.168.18.7,192.168.18.22,40420,5900,6,0.036746,1,0,60,0,27.214004,128,0,1632.840264,0.000000,0.036746,0.036746,0.000000,0.000000,1,1,18,1141,11,110464,0,ninguno,0,,0.000000,1.835000,0,0.021487
