marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms
1788573874.379719,192.168.18.9,192.168.18.22,23935,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,60,0,0,0,ninguno,0,,0.000000,0.768400
1788573874.384231,192.168.18.9,192.168.18.22,23935,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,2,120,0,0,0,ninguno,0,,0.000000,0.719600
1788573874.384911,192.168.18.9,192.168.18.22,23935,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,3,180,0,0,0,ninguno,0,,0.000000,0.318200
1788573874.385389,192.168.18.9,192.168.18.22,23935,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,4,240,0,0,0,ninguno,0,,0.000000,0.273800
1788573874.385855,192.168.18.9,192.168.18.22,23935,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,5,300,0,0,0,ninguno,0,,0.000000,0.271100
1788573874.386288,192.168.18.9,192.168.18.22,23935,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,6,360,0,0,0,ninguno,0,,0.000000,0.242500
1788573874.386770,192.168.18.9,192.168.18.22,23935,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,7,420,0,0,0,ninguno,0,,0.000000,0.257900
1788573874.387206,192.168.18.9,192.168.18.22,23935,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,8,480,0,0,0,ninguno,0,,0.000000,0.244600
1788573874.387648,192.168.18.9,192.168.18.22,23935,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,9,540,0,0,0,ninguno,0,,0.000000,0.250500
1788573874.388103,192.168.18.9,192.168.18.22,23935,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,10,600,0,0,0,ninguno,0,,0.000000,0.264100
