marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms
1788489834.815171,192.168.18.9,192.168.18.22,42819,5900,6,0.001000,1,0,88,0,1000.000000,128,0,88000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,88,0,0,0,ninguno,0,,0.000000,1.051400
1788489834.819590,192.168.18.22,192.168.18.9,5900,42819,6,0.001000,1,0,54,0,1000.000000,64,0,54000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,88,1,54,0,ninguno,0,,0.000000,0.759200
1788489834.820389,192.168.18.22,192.168.18.9,5900,42819,6,0.015294,1,0,80,0,65.384798,64,0,5230.783812,0.000000,0.015294,0.015294,0.000000,0.000000,1,1,1,88,2,134,0,ninguno,0,,0.000000,0.413300
1788489834.821056,192.168.18.22,192.168.18.9,5900,42819,6,0.015378,1,0,14654,0,65.028977,64,0,952934.631793,0.000000,0.015378,0.015378,0.000000,0.000000,1,1,1,88,3,14788,0,ninguno,0,,0.000000,0.346300
1788489834.821715,192.168.18.22,192.168.18.9,5900,42819,6,0.015396,1,0,1860,0,64.951437,64,0,120809.672944,0.000000,0.015396,0.015396,0.000000,0.000000,1,1,1,88,4,16648,0,ninguno,0,,0.000000,0.341700
1788489834.822388,192.168.18.22,192.168.18.9,5900,42819,6,0.015462,1,0,14654,0,64.674017,64,0,947733.039582,0.000000,0.015462,0.015462,0.000000,0.000000,1,1,1,88,5,31302,0,ninguno,0,,0.000000,0.333500
1788489834.823060,192.168.18.22,192.168.18.9,5900,42819,6,0.015482,1,0,1860,0,64.589362,64,0,120136.213619,0.000000,0.015482,0.015482,0.000000,0.000000,1,1,1,88,6,33162,0,ninguno,0,,0.000000,0.364000
1788489834.823705,192.168.18.22,192.168.18.9,5900,42819,6,0.015548,1,0,1514,0,64.316992,64,0,97375.925904,0.000000,0.015548,0.015548,0.000000,0.000000,1,1,1,88,7,34676,0,ninguno,0,,0.000000,0.333200
1788489834.824616,192.168.18.9,192.168.18.22,42819,5900,6,0.016027,1,0,60,0,62.392955,128,0,3743.577294,0.000000,0.016027,0.016027,0.000000,0.000000,1,1,2,148,7,34676,0,ninguno,0,,0.000000,0.601200
1788489834.825594,192.168.18.22,192.168.18.9,5900,42819,6,0.016048,1,0,5894,0,62.314163,64,0,367279.676953,0.000000,0.016048,0.016048,0.000000,0.000000,1,1,2,148,8,40570,0,ninguno,0,,0.000000,0.401300
1788489834.826366,192.168.18.9,192.168.18.22,42819,5900,6,0.016055,1,0,60,0,62.285477,128,0,3737.128601,0.000000,0.016055,0.016055,0.000000,0.000000,1,1,3,208,8,40570,0,ninguno,0,,0.000000,0.448100
1788489834.827035,192.168.18.22,192.168.18.9,5900,42819,6,0.016058,1,0,5894,0,62.272530,64,0,367034.293078,0.000000,0.016058,0.016058,0.000000,0.000000,1,1,3,208,9,46464,0,ninguno,0,,0.000000,0.352700
1788489834.827694,192.168.18.9,192.168.18.22,42819,5900,6,0.016066,1,0,60,0,62.242958,128,0,3734.577509,0.000000,0.016066,0.016066,0.000000,0.000000,1,1,4,268,9,46464,0,ninguno,0,,0.000000,0.349300
1788489834.828375,192.168.18.22,192.168.18.9,5900,42819,6,0.016069,1,0,2182,0,62.230953,64,0,135787.939406,0.000000,0.016069,0.016069,0.000000,0.000000,1,1,4,268,10,48646,0,ninguno,0,,0.000000,0.373300
1788489834.829347,192.168.18.9,192.168.18.22,42819,5900,6,0.016072,1,0,60,0,62.220798,128,0,3733.247886,0.000000,0.016072,0.016072,0.000000,0.000000,1,1,5,328,10,48646,0,ninguno,0,,0.000000,0.656700
1788489834.830208,192.168.18.9,192.168.18.22,42819,5900,6,0.016073,1,0,60,0,62.215260,128,0,3732.915628,0.000000,0.016073,0.016073,0.000000,0.000000,1,1,6,388,10,48646,0,ninguno,0,,0.000000,0.513000
1788489834.831005,192.168.18.9,192.168.18.22,42819,5900,6,0.016076,1,0,60,0,62.205111,128,0,3732.306643,0.000000,0.016076,0.016076,0.000000,0.000000,1,1,7,448,10,48646,0,ninguno,0,,0.000000,0.425900
1788489834.831684,192.168.18.9,192.168.18.22,42819,5900,6,0.016435,1,0,60,0,60.844332,128,0,3650.659897,0.000000,0.016435,0.016435,0.000000,0.000000,1,1,8,508,10,48646,0,ninguno,0,,0.000000,0.353200
1788489834.832343,192.168.18.9,192.168.18.22,42819,5900,6,0.016437,1,0,60,0,60.837271,128,0,3650.236282,0.000000,0.016437,0.016437,0.000000,0.000000,1,1,9,568,10,48646,0,ninguno,0,,0.000000,0.343500
1788489834.833163,192.168.18.9,192.168.18.22,42819,5900,6,0.016439,1,0,60,0,60.831977,128,0,3649.918636,0.000000,0.016439,0.016439,0.000000,0.000000,1,1,10,628,10,48646,0,ninguno,0,,0.000000,0.388800
1788489834.833858,192.168.18.9,192.168.18.22,42819,5900,6,0.016440,1,0,60,0,60.825802,128,0,3649.548118,0.000000,0.016440,0.016440,0.000000,0.000000,1,1,11,688,10,48646,0,ninguno,0,,0.000000,0.353800
1788489834.834683,192.168.18.9,192.168.18.22,42819,5900,6,0.016442,1,0,60,0,60.820510,128,0,3649.230591,0.000000,0.016442,0.016442,0.000000,0.000000,1,1,12,748,10,48646,0,ninguno,0,,0.000000,0.352300
1788489834.835443,192.168.18.9,192.168.18.22,42819,5900,6,0.016855,1,0,60,0,59.327892,128,0,3559.673536,0.000000,0.016855,0.016855,0.000000,0.000000,1,1,13,808,10,48646,0,ninguno,0,,0.000000,0.422200
1788489834.836163,192.168.18.9,192.168.18.22,42819,5900,6,0.016859,1,0,60,0,59.316985,128,0,3559.019092,0.000000,0.016859,0.016859,0.000000,0.000000,1,1,14,868,10,48646,0,ninguno,0,,0.000000,0.358000
1788489834.836834,192.168.18.9,192.168.18.22,42819,5900,6,0.017337,1,0,60,0,57.679034,128,0,3460.742045,0.000000,0.017337,0.017337,0.000000,0.000000,1,1,15,928,10,48646,0,ninguno,0,,0.000000,0.341300
1788489836.018560,192.168.18.9,192.168.18.22,42819,5900,6,0.027512,1,0,93,0,36.347678,128,0,3380.334090,0.000000,0.027512,0.027512,0.000000,0.000000,1,1,16,1021,10,48646,0,ninguno,0,,0.000000,1.033400
1788489836.019792,192.168.18.22,192.168.18.9,5900,42819,6,0.050962,1,0,80,0,19.622383,64,0,1569.790644,0.000000,0.050962,0.050962,0.000000,0.000000,1,1,16,1021,11,48726,0,ninguno,0,,0.000000,0.755400
1788489836.020954,192.168.18.22,192.168.18.9,5900,42819,6,0.051040,1,0,14654,0,19.592502,64,0,287108.520841,0.000000,0.051040,0.051040,0.000000,0.000000,1,1,16,1021,12,63380,0,ninguno,0,,0.000000,0.753700
1788489836.021991,192.168.18.22,192.168.18.9,5900,42819,6,0.051058,1,0,1860,0,19.585549,64,0,36429.120489,0.000000,0.051058,0.051058,0.000000,0.000000,1,1,16,1021,13,65240,0,ninguno,0,,0.000000,0.506600
1788489836.022798,192.168.18.22,192.168.18.9,5900,42819,6,0.051079,1,0,1831,0,19.577595,64,0,35846.576848,0.000000,0.051079,0.051079,0.000000,0.000000,1,1,16,1021,14,67071,0,ninguno,0,,0.000000,0.433900
1788489836.023670,192.168.18.22,192.168.18.9,5900,42819,6,0.051093,1,0,93,0,19.572023,64,0,1820.198095,0.000000,0.051093,0.051093,0.000000,0.000000,1,1,16,1021,15,67164,0,ninguno,0,,0.000000,0.527600
1788489836.024986,192.168.18.9,192.168.18.22,42819,5900,6,0.051778,1,0,60,0,19.313282,128,0,1158.796898,0.000000,0.051778,0.051778,0.000000,0.000000,1,1,17,1081,15,67164,0,ninguno,0,,0.000000,0.688100
1788489836.025751,192.168.18.9,192.168.18.22,42819,5900,6,0.051789,1,0,60,0,19.309014,128,0,1158.540834,0.000000,0.051789,0.051789,0.000000,0.000000,1,1,18,1141,15,67164,0,ninguno,0,,0.000000,0.392500
1788489836.027281,192.168.18.9,192.168.18.22,42819,5900,6,0.051791,1,0,60,0,19.308392,128,0,1158.503501,0.000000,0.051791,0.051791,0.000000,0.000000,1,1,19,1201,15,67164,0,ninguno,0,,0.000000,1.021500
1788489836.028238,192.168.18.9,192.168.18.22,42819,5900,6,0.057842,1,0,93,0,17.288542,128,0,1607.834398,0.000000,0.057842,0.057842,0.000000,0.000000,1,1,20,1294,15,67164,0,ninguno,0,,0.000000,0.566000
1788489836.029106,192.168.18.22,192.168.18.9,5900,42819,6,0.100416,1,0,54,0,9.958601,64,0,537.764477,0.000000,0.100416,0.100416,0.000000,0.000000,1,1,20,1294,16,67218,0,ninguno,0,,0.000000,0.529200
1788489836.029895,192.168.18.9,192.168.18.22,42819,5900,6,1.038038,1,0,82,0,0.963356,128,0,78.995198,0.000000,1.038038,1.038038,0.000000,0.000000,1,1,21,1376,16,67218,0,ninguno,0,,0.000000,0.451000
1788489836.031592,192.168.18.22,192.168.18.9,5900,42819,6,1.038042,1,0,54,0,0.963352,64,0,52.021025,0.000000,1.038042,1.038042,0.000000,0.000000,1,1,21,1376,17,67272,0,ninguno,0,,0.000000,1.093000
1788489836.032753,192.168.18.9,192.168.18.22,42819,5900,6,1.068541,1,0,82,0,0.935856,128,0,76.740167,0.000000,1.068541,1.068541,0.000000,0.000000,1,1,22,1458,17,67272,0,ninguno,0,,0.000000,0.631300
1788489836.033818,192.168.18.22,192.168.18.9,5900,42819,6,1.068544,1,0,54,0,0.935853,64,0,50.536072,0.000000,1.068544,1.068544,0.000000,0.000000,1,1,22,1458,18,67326,0,ninguno,0,,0.000000,0.480700
1788489836.034815,192.168.18.9,192.168.18.22,42819,5900,6,1.099543,1,0,82,0,0.909468,128,0,74.576415,0.000000,1.099543,1.099543,0.000000,0.000000,1,1,23,1540,18,67326,0,ninguno,0,,0.000000,0.627700
1788489836.035540,192.168.18.22,192.168.18.9,5900,42819,6,1.099546,1,0,54,0,0.909466,64,0,49.111170,0.000000,1.099546,1.099546,0.000000,0.000000,1,1,23,1540,19,67380,0,ninguno,0,,0.000000,0.395500
1788489836.036511,192.168.18.9,192.168.18.22,42819,5900,6,1.130290,1,0,82,0,0.884729,128,0,72.547782,0.000000,1.130290,1.130290,0.000000,0.000000,1,1,24,1622,19,67380,0,ninguno,0,,0.000000,0.643700
1788489836.038426,192.168.18.22,192.168.18.9,5900,42819,6,1.130292,1,0,54,0,0.884727,64,0,47.775258,0.000000,1.130292,1.130292,0.000000,0.000000,1,1,24,1622,20,67434,0,ninguno,0,,0.000000,1.360200
1788489836.039336,192.168.18.9,192.168.18.22,42819,5900,6,1.161675,1,0,82,0,0.860826,128,0,70.587730,0.000000,1.161675,1.161675,0.000000,0.000000,1,1,25,1704,20,67434,0,ninguno,0,,0.000000,0.532400
1788489836.040551,192.168.18.22,192.168.18.9,5900,42819,6,1.161679,1,0,54,0,0.860823,64,0,46.484460,0.000000,1.161679,1.161679,0.000000,0.000000,1,1,25,1704,21,67488,0,ninguno,0,,0.000000,0.654400
1788489836.041340,192.168.18.22,192.168.18.9,5900,42819,6,1.162678,1,0,3062,0,0.860083,64,0,2633.574699,0.000000,1.162678,1.162678,0.000000,0.000000,1,1,25,1704,22,70550,0,ninguno,0,,0.000000,0.410000
1788489836.042781,192.168.18.9,192.168.18.22,42819,5900,6,1.163661,1,0,60,0,0.859357,128,0,51.561398,0.000000,1.163661,1.163661,0.000000,0.000000,1,1,26,1764,22,70550,0,ninguno,0,,0.000000,0.699800
1788489836.043929,192.168.18.9,192.168.18.22,42819,5900,6,1.193286,1,0,82,0,0.838022,128,0,68.717785,0.000000,1.193286,1.193286,0.000000,0.000000,1,1,27,1846,22,70550,0,ninguno,0,,0.000000,0.650500
1788489836.044914,192.168.18.9,192.168.18.22,42819,5900,6,1.223915,1,0,82,0,0.817050,128,0,66.998137,0.000000,1.223915,1.223915,0.000000,0.000000,1,1,28,1928,22,70550,0,ninguno,0,,0.000000,0.576300
1788489840.265150,192.168.18.22,192.168.18.9,5900,42819,6,1.224759,1,0,54,0,0.816487,64,0,44.090294,0.000000,1.224759,1.224759,0.000000,0.000000,1,1,28,1928,23,70604,0,ninguno,0,,0.000000,0.977800
1788489840.266445,192.168.18.9,192.168.18.22,42819,5900,6,1.254915,1,0,82,0,0.796866,128,0,65.343046,0.000000,1.254915,1.254915,0.000000,0.000000,1,1,29,2010,23,70604,0,ninguno,0,,0.000000,0.797400
1788489840.267548,192.168.18.9,192.168.18.22,42819,5900,6,1.285668,1,0,82,0,0.777806,128,0,63.780055,0.000000,1.285668,1.285668,0.000000,0.000000,1,1,30,2092,23,70604,0,ninguno,0,,0.000000,0.706200
1788489840.268463,192.168.18.22,192.168.18.9,5900,42819,6,1.285674,1,0,54,0,0.777802,64,0,42.001305,0.000000,1.285674,1.285674,0.000000,0.000000,1,1,30,2092,24,70658,0,ninguno,0,,0.000000,0.520200
1788489840.269241,192.168.18.9,192.168.18.22,42819,5900,6,1.316327,1,0,82,0,0.759690,128,0,62.294547,0.000000,1.316327,1.316327,0.000000,0.000000,1,1,31,2174,24,70658,0,ninguno,0,,0.000000,0.443600
1788489840.269990,192.168.18.9,192.168.18.22,42819,5900,6,1.347177,1,0,82,0,0.742293,128,0,60.868021,0.000000,1.347177,1.347177,0.000000,0.000000,1,1,32,2256,24,70658,0,ninguno,0,,0.000000,0.396600
1788489840.270746,192.168.18.22,192.168.18.9,5900,42819,6,1.347179,1,0,54,0,0.742292,64,0,40.083762,0.000000,1.347179,1.347179,0.000000,0.000000,1,1,32,2256,25,70712,0,ninguno,0,,0.000000,0.428300
1788489840.271467,192.168.18.9,192.168.18.22,42819,5900,6,1.378058,1,0,82,0,0.725659,128,0,59.504029,0.000000,1.378058,1.378058,0.000000,0.000000,1,1,33,2338,25,70712,0,ninguno,0,,0.000000,0.391200
1788489840.272202,192.168.18.9,192.168.18.22,42819,5900,6,1.408426,1,0,82,0,0.710012,128,0,58.221019,0.000000,1.408426,1.408426,0.000000,0.000000,1,1,34,2420,25,70712,0,ninguno,0,,0.000000,0.382700
1788489840.272938,192.168.18.22,192.168.18.9,5900,42819,6,1.408437,1,0,54,0,0.710007,64,0,38.340379,0.000000,1.408437,1.408437,0.000000,0.000000,1,1,34,2420,26,70766,0,ninguno,0,,0.000000,0.387700
1788489840.273657,192.168.18.9,192.168.18.22,42819,5900,6,1.453218,1,0,82,0,0.688128,128,0,56.426478,0.000000,1.453218,1.453218,0.000000,0.000000,1,1,35,2502,26,70766,0,ninguno,0,,0.000000,0.373600
1788489840.274357,192.168.18.9,192.168.18.22,42819,5900,6,1.477055,1,0,82,0,0.677023,128,0,55.515863,0.000000,1.477055,1.477055,0.000000,0.000000,1,1,36,2584,26,70766,0,ninguno,0,,0.000000,0.365400
1788489840.275229,192.168.18.22,192.168.18.9,5900,42819,6,1.477075,1,0,54,0,0.677014,64,0,36.558731,0.000000,1.477075,1.477075,0.000000,0.000000,1,1,36,2584,27,70820,0,ninguno,0,,0.000000,0.391400
1788489840.275945,192.168.18.9,192.168.18.22,42819,5900,6,2.377607,1,0,82,0,0.420591,128,0,34.488464,0.000000,2.377607,2.377607,0.000000,0.000000,1,1,37,2666,27,70820,0,ninguno,0,,0.000000,0.391100
1788489840.276813,192.168.18.9,192.168.18.22,42819,5900,6,2.408610,1,0,82,0,0.415177,128,0,34.044527,0.000000,2.408610,2.408610,0.000000,0.000000,1,1,38,2748,27,70820,0,ninguno,0,,0.000000,0.423600
1788489840.278720,192.168.18.22,192.168.18.9,5900,42819,6,2.408621,1,0,54,0,0.415175,64,0,22.419471,0.000000,2.408621,2.408621,0.000000,0.000000,1,1,38,2748,28,70874,0,ninguno,0,,0.000000,0.427100
1788489840.279861,208.103.161.16,192.168.18.8,443,34423,6,0.001000,1,0,79,0,1000.000000,55,0,79000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,79,0,0,0,ninguno,0,,0.000000,0.803800
1788489840.280843,192.168.18.8,208.103.161.16,34423,443,6,0.039613,1,0,83,0,25.244081,128,0,2095.258694,0.000000,0.039613,0.039613,0.000000,0.000000,1,1,1,79,1,83,0,ninguno,0,,0.000000,0.606700
1788489840.281635,208.103.161.16,192.168.18.8,443,34423,6,0.045151,1,0,60,0,22.147672,55,0,1328.860328,0.000000,0.045151,0.045151,0.000000,0.000000,1,1,2,139,1,83,0,ninguno,0,,0.000000,0.418600
1788489840.282361,192.168.18.22,192.168.18.9,5900,42819,6,0.001000,1,0,80,0,1000.000000,64,0,80000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,80,0,0,0,ninguno,0,,0.000000,0.392300
1788489840.283125,192.168.18.22,192.168.18.9,5900,42819,6,0.001000,1,0,1505,0,1000.000000,64,0,1505000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,2,1585,0,0,0,ninguno,0,,0.000000,0.403900
1788489840.283825,192.168.18.22,192.168.18.9,5900,42819,6,0.001000,1,0,93,0,1000.000000,64,0,93000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,3,1678,0,0,0,ninguno,0,,0.000000,0.372400
1788489840.284604,192.168.18.9,192.168.18.22,42819,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,3,1678,1,60,0,ninguno,0,,0.000000,0.452400
1788489840.285300,192.168.18.9,192.168.18.22,42819,5900,6,0.003999,1,0,93,0,250.033025,128,0,23253.071356,0.000000,0.003999,0.003999,0.000000,0.000000,1,1,3,1678,2,153,0,ninguno,0,,0.000000,0.367600
1788489840.285999,192.168.18.22,192.168.18.9,5900,42819,6,0.045485,1,0,54,0,21.985030,64,0,1187.191613,0.000000,0.045485,0.045485,0.000000,0.000000,1,1,4,1732,2,153,0,ninguno,0,,0.000000,0.370400
1788489849.668138,192.168.18.24,224.0.0.251,50194,5353,17,0.001000,1,0,85,0,1000.000000,1,0,85000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,85,0,0,0,ninguno,0,,0.000000,0.490700
1788489849.668958,192.168.18.24,224.0.0.251,60304,5353,17,0.001000,1,0,85,0,1000.000000,1,0,85000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,85,0,0,0,ninguno,0,,0.000000,0.434800
1788489849.669446,192.168.18.24,192.168.18.9,56562,137,17,0.001000,1,0,92,0,1000.000000,64,0,92000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,92,0,0,0,ninguno,0,,0.000000,0.280000
1788489849.670000,192.168.18.24,192.168.18.9,36103,137,17,0.001000,1,0,92,0,1000.000000,64,0,92000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,92,0,0,0,ninguno,0,,0.000000,0.355100
1788489849.670474,192.168.18.24,224.0.0.251,50622,5353,17,0.001000,1,0,85,0,1000.000000,1,0,85000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,85,0,0,0,ninguno,0,,0.000000,0.281700
1788489849.671128,192.168.18.24,224.0.0.251,34367,5353,17,0.001000,1,0,85,0,1000.000000,1,0,85000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,85,0,0,0,ninguno,0,,0.000000,0.327700
1788489849.671834,192.168.18.24,192.168.18.7,56007,137,17,0.001000,1,0,92,0,1000.000000,64,0,92000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,92,0,0,0,ninguno,0,,0.000000,0.410700
1788489849.672342,192.168.18.24,192.168.18.7,50509,137,17,0.001000,1,0,92,0,1000.000000,64,0,92000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,92,0,0,0,ninguno,0,,0.000000,0.292600
1788489849.672862,192.168.18.24,224.0.0.251,57372,5353,17,0.001000,1,0,85,0,1000.000000,1,0,85000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,85,0,0,0,ninguno,0,,0.000000,0.260900
1788489849.673288,192.168.18.24,224.0.0.251,60191,5353,17,0.001000,1,0,85,0,1000.000000,1,0,85000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,85,0,0,0,ninguno,0,,0.000000,0.231900
1788489849.673749,192.168.18.24,239.255.255.250,46543,1900,17,0.001000,1,0,450,0,1000.000000,2,0,450000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,450,0,0,0,ninguno,0,,0.000000,0.267700
1788489849.674243,192.168.18.24,239.255.255.250,46543,1900,17,0.109927,1,0,522,0,9.096951,2,0,4748.608528,0.000000,0.109927,0.109927,0.000000,0.000000,1,1,2,972,0,0,0,ninguno,0,,0.000000,0.302300
1788489849.674721,192.168.18.24,239.255.255.250,46543,1900,17,0.110330,1,0,459,0,9.063748,2,0,4160.260561,0.000000,0.110330,0.110330,0.000000,0.000000,1,1,3,1431,0,0,0,ninguno,0,,0.000000,0.284100
1788489849.675169,192.168.18.24,239.255.255.250,46543,1900,17,0.220515,1,0,518,0,4.534834,2,0,2349.043875,0.000000,0.220515,0.220515,0.000000,0.000000,1,1,4,1949,0,0,0,ninguno,0,,0.000000,0.245700
1788489849.675624,192.168.18.24,239.255.255.250,46543,1900,17,0.220923,1,0,459,0,4.526460,2,0,2077.645220,0.000000,0.220923,0.220923,0.000000,0.000000,1,1,5,2408,0,0,0,ninguno,0,,0.000000,0.263400
1788489849.676051,192.168.18.24,239.255.255.250,46543,1900,17,0.329973,1,0,498,0,3.030551,2,0,1509.214471,0.000000,0.329973,0.329973,0.000000,0.000000,1,1,6,2906,0,0,0,ninguno,0,,0.000000,0.235400
1788489849.676495,192.168.18.24,239.255.255.250,46543,1900,17,0.330384,1,0,459,0,3.026785,2,0,1389.294397,0.000000,0.330384,0.330384,0.000000,0.000000,1,1,7,3365,0,0,0,ninguno,0,,0.000000,0.252400
1788489849.676950,192.168.18.24,239.255.255.250,46543,1900,17,0.439978,1,0,512,0,2.272843,2,0,1163.695485,0.000000,0.439978,0.439978,0.000000,0.000000,1,1,8,3877,0,0,0,ninguno,0,,0.000000,0.253900
1788489849.677361,192.168.18.24,239.255.255.250,46543,1900,17,0.550065,1,0,530,0,1.817968,2,0,963.523257,0.000000,0.550065,0.550065,0.000000,0.000000,1,1,9,4407,0,0,0,ninguno,0,,0.000000,0.215500
1788489849.677926,192.168.18.24,239.255.255.250,46543,1900,17,0.659954,1,0,514,0,1.515258,2,0,778.842641,0.000000,0.659954,0.659954,0.000000,0.000000,1,1,10,4921,0,0,0,ninguno,0,,0.000000,0.309900
1788489849.678342,192.168.18.24,239.255.255.250,46543,1900,17,0.770010,1,0,514,0,1.298685,2,0,667.524010,0.000000,0.770010,0.770010,0.000000,0.000000,1,1,11,5435,0,0,0,ninguno,0,,0.000000,0.191900
1788489849.678566,192.168.18.24,239.255.255.250,46543,1900,17,1.139983,1,0,514,0,0.877206,2,0,450.883941,0.000000,1.139983,1.139983,0.000000,0.000000,1,1,12,5949,0,0,0,ninguno,0,,0.000000,0.132300
1788489849.678725,192.168.18.24,239.255.255.250,46543,1900,17,1.140330,1,0,514,0,0.876939,2,0,450.746872,0.000000,1.140330,1.140330,0.000000,0.000000,1,1,13,6463,0,0,0,ninguno,0,,0.000000,0.086400
1788489849.678869,192.168.18.24,239.255.255.250,46543,1900,17,1.140647,1,0,530,0,0.876695,2,0,464.648599,0.000000,1.140647,1.140647,0.000000,0.000000,1,1,14,6993,0,0,0,ninguno,0,,0.000000,0.076200
1788489849.678987,192.168.18.24,239.255.255.250,46543,1900,17,1.140952,1,0,512,0,0.876461,2,0,448.748113,0.000000,1.140952,1.140952,0.000000,0.000000,1,1,15,7505,0,0,0,ninguno,0,,0.000000,0.067800
1788489854.189188,192.168.18.24,239.255.255.250,46543,1900,17,1.141767,1,0,459,0,0.875835,2,0,402.008457,0.000000,1.141767,1.141767,0.000000,0.000000,1,1,16,7964,0,0,0,ninguno,0,,0.000000,0.892100
1788489854.191166,192.168.18.24,239.255.255.250,46543,1900,17,1.141770,1,0,498,0,0.875833,2,0,436.165036,0.000000,1.141770,1.141770,0.000000,0.000000,1,1,17,8462,0,0,0,ninguno,0,,0.000000,0.709800
1788489854.192404,192.168.18.24,239.255.255.250,46543,1900,17,1.141886,1,0,459,0,0.875744,2,0,401.966405,0.000000,1.141886,1.141886,0.000000,0.000000,1,1,18,8921,0,0,0,ninguno,0,,0.000000,0.564400
