marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms,veredicto_ia_es_amenaza,veredicto_ia_confianza
1788912505.537271,192.168.18.7,192.168.18.22,44146,5900,6,0.001000,1,0,93,0,1000.000000,128,0,93000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,93,0,0,0,ninguno,0,,0.000000,1.103900,0,0.000021
1788912505.539749,192.168.18.22,192.168.18.7,5900,44146,6,0.029277,1,0,80,0,34.156126,64,0,2732.490106,0.000000,0.029277,0.029277,0.000000,0.000000,1,1,1,93,1,80,0,ninguno,0,,0.000000,0.964000,0,0.000007
1788912505.541322,192.168.18.22,192.168.18.7,5900,44146,6,0.029353,1,0,13194,0,34.067627,64,0,449488.267063,0.000000,0.029353,0.029353,0.000000,0.000000,1,1,1,93,2,13274,0,ninguno,0,,0.000000,0.923200,0,0.000013
1788912505.543147,192.168.18.22,192.168.18.7,5900,44146,6,0.029371,1,0,3320,0,34.047163,64,0,113036.579620,0.000000,0.029371,0.029371,0.000000,0.000000,1,1,1,93,3,16594,0,ninguno,0,,0.000000,1.014200,0,0.000013
1788912505.545004,192.168.18.22,192.168.18.7,5900,44146,6,0.029434,1,0,7354,0,33.974080,64,0,249845.383100,0.000000,0.029434,0.029434,0.000000,0.000000,1,1,1,93,4,23948,0,ninguno,0,,0.000000,1.317400,0,0.000009
1788912505.546637,192.168.18.7,192.168.18.22,44146,5900,6,0.030322,1,0,60,0,32.979533,128,0,1978.771967,0.000000,0.030322,0.030322,0.000000,0.000000,1,1,2,153,4,23948,0,ninguno,0,,0.000000,1.205000,0,0.000114
1788912505.547850,192.168.18.22,192.168.18.7,5900,44146,6,0.030345,1,0,14654,0,32.953880,64,0,482906.164585,0.000000,0.030345,0.030345,0.000000,0.000000,1,1,2,153,5,38602,0,ninguno,0,,0.000000,0.803300,0,0.000006
1788912505.548934,192.168.18.7,192.168.18.22,44146,5900,6,0.030353,1,0,60,0,32.945597,128,0,1976.735842,0.000000,0.030353,0.030353,0.000000,0.000000,1,1,3,213,5,38602,0,ninguno,0,,0.000000,0.728600,0,0.002121
1788912505.549979,192.168.18.22,192.168.18.7,5900,44146,6,0.030356,1,0,990,0,32.942234,64,0,32612.811197,0.000000,0.030356,0.030356,0.000000,0.000000,1,1,3,213,6,39592,0,ninguno,0,,0.000000,0.666000,0,0.000013
1788912505.551071,192.168.18.7,192.168.18.22,44146,5900,6,0.031682,1,0,60,0,31.563887,128,0,1893.833222,0.000000,0.031682,0.031682,0.000000,0.000000,1,1,4,273,6,39592,0,ninguno,0,,0.000000,0.730200,0,0.004541
