marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms,veredicto_ia_es_amenaza,veredicto_ia_confianza
1789001284.314483,192.168.18.22,192.168.18.6,5900,61165,6,0.001000,1,0,80,0,1000.000000,64,0,80000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,80,0,0,0,ninguno,0,,0.000000,0.826200,0,0.000005
1789001284.320855,192.168.18.22,192.168.18.6,5900,61165,6,0.001000,1,0,11734,0,1000.000000,64,0,11734000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,2,11814,0,0,0,ninguno,0,,0.000000,0.193100,0,0.000002
1789001284.321070,192.168.18.22,192.168.18.6,5900,61165,6,0.001000,1,0,4780,0,1000.000000,64,0,4780000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,3,16594,0,0,0,ninguno,0,,0.000000,0.133400,0,0.000003
1789001284.321616,192.168.18.22,192.168.18.6,5900,61165,6,0.001000,1,0,5894,0,1000.000000,64,0,5894000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,4,22488,0,0,0,ninguno,0,,0.000000,0.487800,0,0.000003
1789001284.326565,192.168.18.6,192.168.18.22,61165,5900,6,0.001714,1,0,60,0,583.595937,128,0,35015.756227,0.000000,0.001714,0.001714,0.000000,0.000000,1,1,4,22488,1,60,0,ninguno,0,,0.000000,4.634300,0,0.144183
1789001284.328373,192.168.18.22,192.168.18.6,5900,61165,6,0.001717,1,0,14654,0,582.542222,64,0,8536573.724444,0.000000,0.001717,0.001717,0.000000,0.000000,1,1,5,37142,1,60,0,ninguno,0,,0.000000,1.546500,0,0.000001
1789001284.329234,192.168.18.6,192.168.18.22,61165,5900,6,0.001718,1,0,60,0,582.057175,128,0,34923.430475,0.000000,0.001718,0.001718,0.000000,0.000000,1,1,5,37142,2,120,0,ninguno,0,,0.000000,0.576000,0,0.254675
1789001284.330695,192.168.18.22,192.168.18.6,5900,61165,6,0.001720,1,0,2934,0,581.492306,64,0,1706098.424511,0.000000,0.001720,0.001720,0.000000,0.000000,1,1,6,40076,2,120,0,ninguno,0,,0.000000,0.860500,0,0.000002
1789001284.332035,192.168.18.6,192.168.18.22,61165,5900,6,0.003608,1,0,60,0,277.162757,128,0,16629.765413,0.000000,0.003608,0.003608,0.000000,0.000000,1,1,6,40076,3,180,0,ninguno,0,,0.000000,0.954900,0,0.426190
1789001284.332738,192.168.18.6,192.168.18.22,61165,5900,6,0.003610,1,0,60,0,276.998019,128,0,16619.881125,0.000000,0.003610,0.003610,0.000000,0.000000,1,1,6,40076,4,240,0,ninguno,0,,0.000000,0.555000,0,0.442589
1789001284.333647,192.168.18.6,192.168.18.22,61165,5900,6,0.004229,1,0,88,0,236.485341,128,0,20810.709968,0.000000,0.004229,0.004229,0.000000,0.000000,1,1,6,40076,5,328,0,ninguno,0,,0.000000,0.542100,0,0.514199
1789001284.334095,192.168.18.6,192.168.18.22,61165,5900,6,0.005019,1,0,93,0,199.254347,128,0,18530.654252,0.000000,0.005019,0.005019,0.000000,0.000000,1,1,6,40076,6,421,0,ninguno,0,,0.000000,0.239500,0,0.498338
