marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms,veredicto_ia_es_amenaza,veredicto_ia_confianza
1788912133.353967,192.168.18.22,192.168.18.7,5900,44146,6,0.001000,1,0,54,0,1000.000000,64,0,54000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,54,0,0,0,ninguno,0,,0.000000,1.126300,0,0.000302
1788912133.360108,192.168.18.7,192.168.18.22,44146,5900,6,0.005412,1,0,88,0,184.787382,128,0,16261.289629,0.000000,0.005412,0.005412,0.000000,0.000000,1,1,1,54,1,88,0,ninguno,0,,0.000000,1.008600,0,0.000152
1788912133.361212,192.168.18.22,192.168.18.7,5900,44146,6,0.005429,1,0,54,0,184.194985,64,0,9946.529182,0.000000,0.005429,0.005429,0.000000,0.000000,1,1,2,108,1,88,0,ninguno,0,,0.000000,0.804700,0,0.000004
1788912133.362020,192.168.18.22,192.168.18.7,5900,44146,6,0.012158,1,0,80,0,82.247706,64,0,6579.816456,0.000000,0.012158,0.012158,0.000000,0.000000,1,1,3,188,1,88,0,ninguno,0,,0.000000,0.550800,0,0.000017
1788912133.362797,192.168.18.22,192.168.18.7,5900,44146,6,0.012256,1,0,14654,0,81.591721,64,0,1195645.076761,0.000000,0.012256,0.012256,0.000000,0.000000,1,1,4,14842,1,88,0,ninguno,0,,0.000000,0.483200,0,0.000004
1788912133.363533,192.168.18.22,192.168.18.7,5900,44146,6,0.012275,1,0,1860,0,81.469689,64,0,151533.621584,0.000000,0.012275,0.012275,0.000000,0.000000,1,1,5,16702,1,88,0,ninguno,0,,0.000000,0.462600,0,0.000004
1788912133.364326,192.168.18.22,192.168.18.7,5900,44146,6,0.012354,1,0,10274,0,80.947679,64,0,831656.456547,0.000000,0.012354,0.012354,0.000000,0.000000,1,1,6,26976,1,88,0,ninguno,0,,0.000000,0.580000,0,0.000006
1788912133.365139,192.168.18.7,192.168.18.22,44146,5900,6,0.012939,1,0,60,0,77.284443,128,0,4637.066573,0.000000,0.012939,0.012939,0.000000,0.000000,1,1,6,26976,2,148,0,ninguno,0,,0.000000,0.590900,0,0.003713
1788912133.365909,192.168.18.22,192.168.18.7,5900,44146,6,0.012958,1,0,5784,0,77.173527,64,0,446371.678154,0.000000,0.012958,0.012958,0.000000,0.000000,1,1,7,32760,2,148,0,ninguno,0,,0.000000,0.480400,0,0.000011
1788912133.366583,192.168.18.7,192.168.18.22,44146,5900,6,0.012961,1,0,60,0,77.155072,128,0,4629.304293,0.000000,0.012961,0.012961,0.000000,0.000000,1,1,7,32760,3,208,0,ninguno,0,,0.000000,0.462300,0,0.004101
1788912133.367297,192.168.18.7,192.168.18.22,44146,5900,6,0.013459,1,0,60,0,74.297274,128,0,4457.836430,0.000000,0.013459,0.013459,0.000000,0.000000,1,1,7,32760,4,268,0,ninguno,0,,0.000000,0.506200,0,0.005917
1788912133.367984,192.168.18.7,192.168.18.22,44146,5900,6,0.013461,1,0,60,0,74.288062,128,0,4457.283741,0.000000,0.013461,0.013461,0.000000,0.000000,1,1,7,32760,5,328,0,ninguno,0,,0.000000,0.468500,0,0.007796
1788912133.368811,192.168.18.7,192.168.18.22,44146,5900,6,0.013463,1,0,60,0,74.280169,128,0,4456.810116,0.000000,0.013463,0.013463,0.000000,0.000000,1,1,7,32760,6,388,0,ninguno,0,,0.000000,0.499800,0,0.007320
1788912133.370455,192.168.18.7,192.168.18.22,44146,5900,6,0.015555,1,0,93,0,64.288403,128,0,5978.821495,0.000000,0.015555,0.015555,0.000000,0.000000,1,1,7,32760,7,481,0,ninguno,0,,0.000000,1.402100,0,0.007320
1788912133.371535,192.168.18.22,192.168.18.7,5900,44146,6,0.055811,1,0,54,0,17.917638,64,0,967.552442,0.000000,0.055811,0.055811,0.000000,0.000000,1,1,8,32814,7,481,0,ninguno,0,,0.000000,0.710300,0,0.000006
1788912133.372433,192.168.18.24,239.255.255.250,36465,1900,17,0.001000,1,0,514,0,1000.000000,2,0,514000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,514,0,0,0,ninguno,0,,0.000000,0.671100,0,0.000036
1788912133.373312,192.168.18.24,239.255.255.250,36465,1900,17,0.001000,1,0,514,0,1000.000000,2,0,514000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,2,1028,0,0,0,ninguno,0,,0.000000,0.653500,0,0.000194
1788912133.374722,192.168.18.24,239.255.255.250,36465,1900,17,0.001000,1,0,530,0,1000.000000,2,0,530000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,3,1558,0,0,0,ninguno,0,,0.000000,0.841200,0,0.000395
1788912133.375516,192.168.18.24,239.255.255.250,36465,1900,17,0.001000,1,0,512,0,1000.000000,2,0,512000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,4,2070,0,0,0,ninguno,0,,0.000000,0.491300,0,0.000253
1788912133.376199,192.168.18.24,239.255.255.250,36465,1900,17,0.001000,1,0,459,0,1000.000000,2,0,459000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,5,2529,0,0,0,ninguno,0,,0.000000,0.469400,0,0.000253
1788912133.377233,192.168.18.24,239.255.255.250,36465,1900,17,0.001000,1,0,498,0,1000.000000,2,0,498000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,6,3027,0,0,0,ninguno,0,,0.000000,0.535700,0,0.000231
1788912133.377448,192.168.18.24,239.255.255.250,36465,1900,17,0.001000,1,0,459,0,1000.000000,2,0,459000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,7,3486,0,0,0,ninguno,0,,0.000000,0.136400,0,0.000231
1788912133.378469,192.168.18.24,239.255.255.250,36465,1900,17,0.001000,1,0,518,0,1000.000000,2,0,518000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,8,4004,0,0,0,ninguno,0,,0.000000,0.677200,0,0.000217
1788912133.379436,192.168.18.24,239.255.255.250,36465,1900,17,0.001000,1,0,459,0,1000.000000,2,0,459000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,9,4463,0,0,0,ninguno,0,,0.000000,0.728000,0,0.000217
1788912133.380524,192.168.18.24,239.255.255.250,36465,1900,17,0.001038,1,0,522,0,963.322003,2,0,502854.085439,0.000000,0.001038,0.001038,0.000000,0.000000,1,1,10,4985,0,0,0,ninguno,0,,0.000000,0.732100,0,0.000252
1788912135.360698,192.168.18.24,239.255.255.250,36465,1900,17,0.004752,1,0,450,0,210.441222,2,0,94698.549997,0.000000,0.004752,0.004752,0.000000,0.000000,1,1,11,5435,0,0,0,ninguno,0,,0.000000,1.370700,0,0.000277
1788912135.361782,192.168.18.22,192.168.18.7,5900,44146,6,0.334283,1,0,80,0,2.991478,64,0,239.318272,0.000000,0.334283,0.334283,0.000000,0.000000,1,1,9,32894,7,481,0,ninguno,0,,0.000000,0.839000,0,0.000007
1788912135.362856,192.168.18.22,192.168.18.7,5900,44146,6,0.334365,1,0,13010,0,2.990740,64,0,38909.532055,0.000000,0.334365,0.334365,0.000000,0.000000,1,1,10,45904,7,481,0,ninguno,0,,0.000000,0.642200,0,0.000007
1788912135.363918,192.168.18.22,192.168.18.7,5900,44146,6,0.334389,1,0,93,0,2.990531,64,0,278.119419,0.000000,0.334389,0.334389,0.000000,0.000000,1,1,11,45997,7,481,0,ninguno,0,,0.000000,0.702800,0,0.000007
1788912135.364386,192.168.18.7,192.168.18.22,44146,5900,6,0.335331,1,0,60,0,2.982128,128,0,178.927706,0.000000,0.335331,0.335331,0.000000,0.000000,1,1,11,45997,8,541,0,ninguno,0,,0.000000,0.325200,0,0.009105
