marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms,veredicto_ia_es_amenaza,veredicto_ia_confianza
1789001135.182915,192.168.18.22,192.168.18.6,5900,61165,6,0.001000,1,0,54,0,1000.000000,64,0,54000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,54,0,0,0,ninguno,0,,0.000000,1.650400,0,0.005983
1789001135.193456,192.168.18.22,192.168.18.6,5900,61165,6,0.013685,1,0,80,0,73.072771,64,0,5845.821704,0.000000,0.013685,0.013685,0.000000,0.000000,1,1,2,134,0,0,0,ninguno,0,,0.000000,1.000400,0,0.000009
1789001135.194552,192.168.18.22,192.168.18.6,5900,61165,6,0.013763,1,0,13194,0,72.658837,64,0,958660.689741,0.000000,0.013763,0.013763,0.000000,0.000000,1,1,3,13328,0,0,0,ninguno,0,,0.000000,0.690400,0,0.000032
1789001135.195567,192.168.18.22,192.168.18.6,5900,61165,6,0.013792,1,0,3320,0,72.504348,64,0,240714.433785,0.000000,0.013792,0.013792,0.000000,0.000000,1,1,4,16648,0,0,0,ninguno,0,,0.000000,0.646900,0,0.000027
1789001135.196585,192.168.18.22,192.168.18.6,5900,61165,6,0.013853,1,0,8814,0,72.184907,64,0,636237.767077,0.000000,0.013853,0.013853,0.000000,0.000000,1,1,5,25462,0,0,0,ninguno,0,,0.000000,0.666700,0,0.000027
1789001135.197964,192.168.18.6,192.168.18.22,61165,5900,6,0.014451,1,0,60,0,69.198093,128,0,4151.885569,0.000000,0.014451,0.014451,0.000000,0.000000,1,1,5,25462,1,60,0,ninguno,0,,0.000000,0.953800,0,0.153399
1789001135.199934,192.168.18.22,192.168.18.6,5900,61165,6,0.014471,1,0,10075,0,69.104605,64,0,696228.895296,0.000000,0.014471,0.014471,0.000000,0.000000,1,1,6,35537,1,60,0,ninguno,0,,0.000000,1.577300,0,0.000011
1789001135.201491,192.168.18.6,192.168.18.22,61165,5900,6,0.014472,1,0,60,0,69.097774,128,0,4145.866460,0.000000,0.014472,0.014472,0.000000,0.000000,1,1,6,35537,2,120,0,ninguno,0,,0.000000,1.144100,0,0.453784
1789001135.202945,192.168.18.6,192.168.18.22,61165,5900,6,0.014480,1,0,60,0,69.062504,128,0,4143.750247,0.000000,0.014480,0.014480,0.000000,0.000000,1,1,6,35537,3,180,0,ninguno,0,,0.000000,0.722300,0,0.478623
1789001135.204468,192.168.18.6,192.168.18.22,61165,5900,6,0.014481,1,0,60,0,69.054545,128,0,4143.272691,0.000000,0.014481,0.014481,0.000000,0.000000,1,1,6,35537,4,240,0,ninguno,0,,0.000000,1.008500,0,0.477116
1789001135.205449,192.168.18.6,192.168.18.22,61165,5900,6,0.014908,1,0,60,0,67.078813,128,0,4024.728762,0.000000,0.014908,0.014908,0.000000,0.000000,1,1,6,35537,5,300,0,ninguno,0,,0.000000,0.602100,0,0.514199
1789001135.206874,192.168.18.6,192.168.18.22,61165,5900,6,0.014909,1,0,60,0,67.072377,128,0,4024.342598,0.000000,0.014909,0.014909,0.000000,0.000000,1,1,6,35537,6,360,0,ninguno,0,,0.000000,1.066700,0,0.498338
1789001135.208577,192.168.18.6,192.168.18.22,61165,5900,6,0.014910,1,0,60,0,67.067014,128,0,4024.020851,0.000000,0.014910,0.014910,0.000000,0.000000,1,1,6,35537,7,420,0,ninguno,0,,0.000000,1.191600,0,0.498338
1789001135.209709,192.168.18.6,192.168.18.22,61165,5900,6,0.014912,1,0,60,0,67.060580,128,0,4023.634823,0.000000,0.014912,0.014912,0.000000,0.000000,1,1,6,35537,8,480,0,ninguno,0,,0.000000,0.631700,0,0.498338
1789001135.210884,192.168.18.6,192.168.18.22,61165,5900,6,0.015276,1,0,60,0,65.461333,128,0,3927.679990,0.000000,0.015276,0.015276,0.000000,0.000000,1,1,6,35537,9,540,0,ninguno,0,,0.000000,0.814100,0,0.498338
1789001135.211998,192.168.18.6,192.168.18.22,61165,5900,6,0.022566,1,0,93,0,44.314298,128,0,4121.229722,0.000000,0.022566,0.022566,0.000000,0.000000,1,1,6,35537,10,633,0,ninguno,0,,0.000000,0.735700,0,0.586737
1789001135.213214,192.168.18.22,192.168.18.6,5900,61165,6,0.022575,1,0,54,0,44.297449,64,0,2392.062270,0.000000,0.022575,0.022575,0.000000,0.000000,1,1,7,35591,10,633,0,ninguno,0,,0.000000,0.819000,0,0.000012
1789001135.214888,192.168.18.6,192.168.18.22,61165,5900,6,0.040068,1,0,88,0,24.957776,128,0,2196.284286,0.000000,0.040068,0.040068,0.000000,0.000000,1,1,7,35591,11,721,0,ninguno,0,,0.000000,1.182500,0,0.370074
1789001135.216199,192.168.18.22,192.168.18.6,5900,61165,6,0.040077,1,0,54,0,24.951985,64,0,1347.407216,0.000000,0.040077,0.040077,0.000000,0.000000,1,1,8,35645,11,721,0,ninguno,0,,0.000000,0.890200,0,0.000004
1789001135.216601,192.168.18.24,224.0.0.1,1,1,2,0.001000,1,0,60,0,1000.000000,1,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,60,0,0,0,ninguno,0,,0.000000,0.027100,0,0.000000
1789001135.218335,192.168.18.3,239.255.255.250,50645,1900,17,0.001000,1,0,167,0,1000.000000,1,0,167000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,167,0,0,0,ninguno,0,,0.000000,1.396200,0,0.000070
1789001135.218793,192.168.18.22,224.0.0.251,1,1,2,0.001000,1,0,46,0,1000.000000,1,0,46000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,46,0,0,0,ninguno,0,,0.000000,0.028400,0,0.000000
1789001135.219141,192.168.18.22,224.0.0.106,1,1,2,0.001000,1,0,46,0,1000.000000,1,0,46000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,46,0,0,0,ninguno,0,,0.000000,0.016400,0,0.000000
