marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms,veredicto_ia_es_amenaza,veredicto_ia_confianza
1789004836.798768,192.168.18.22,192.168.18.6,5900,61165,6,0.001000,1,0,80,0,1000.000000,64,0,80000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,80,0,0,0,ninguno,0,,0.000000,0.884500,0,0.000005
1789004836.802004,192.168.18.22,192.168.18.6,5900,61165,6,0.001000,1,0,14654,0,1000.000000,64,0,14654000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,2,14734,0,0,0,ninguno,0,,0.000000,0.484900,0,0.000002
1789004836.802806,192.168.18.22,192.168.18.6,5900,61165,6,0.001000,1,0,1860,0,1000.000000,64,0,1860000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,3,16594,0,0,0,ninguno,0,,0.000000,0.467000,0,0.000003
1789004836.803595,192.168.18.22,192.168.18.6,5900,61165,6,0.001000,1,0,10733,0,1000.000000,64,0,10733000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,4,27327,0,0,0,ninguno,0,,0.000000,0.565200,0,0.000003
1789004836.804372,192.168.18.22,192.168.18.6,5900,61165,6,0.001000,1,0,93,0,1000.000000,64,0,93000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,5,27420,0,0,0,ninguno,0,,0.000000,0.474000,0,0.000003
1789004836.805183,192.168.18.6,192.168.18.22,61165,5900,6,0.001004,1,0,60,0,996.035146,128,0,59762.108763,0.000000,0.001004,0.001004,0.000000,0.000000,1,1,5,27420,1,60,0,ninguno,0,,0.000000,0.597000,0,0.144183
1789004836.805868,192.168.18.6,192.168.18.22,61165,5900,6,0.001019,1,0,60,0,980.894294,128,0,58853.657624,0.000000,0.001019,0.001019,0.000000,0.000000,1,1,5,27420,2,120,0,ninguno,0,,0.000000,0.457500,0,0.254675
1789004836.806520,192.168.18.6,192.168.18.22,61165,5900,6,0.001021,1,0,60,0,979.062558,128,0,58743.753501,0.000000,0.001021,0.001021,0.000000,0.000000,1,1,5,27420,3,180,0,ninguno,0,,0.000000,0.445700,0,0.274085
1789004836.807198,192.168.18.6,192.168.18.22,61165,5900,6,0.001023,1,0,60,0,977.693240,128,0,58661.594406,0.000000,0.001023,0.001023,0.000000,0.000000,1,1,5,27420,4,240,0,ninguno,0,,0.000000,0.471800,0,0.287563
1789004836.807863,192.168.18.6,192.168.18.22,61165,5900,6,0.001024,1,0,60,0,976.100535,128,0,58566.032115,0.000000,0.001024,0.001024,0.000000,0.000000,1,1,5,27420,5,300,0,ninguno,0,,0.000000,0.446900,0,0.318899
1789004836.808508,192.168.18.6,192.168.18.22,61165,5900,6,0.007601,1,0,93,0,131.561243,128,0,12235.195634,0.000000,0.007601,0.007601,0.000000,0.000000,1,1,5,27420,6,393,0,ninguno,0,,0.000000,0.439900,0,0.335540
1789004836.809194,192.168.18.22,192.168.18.6,5900,61165,6,0.050126,1,0,54,0,19.949697,64,0,1077.283613,0.000000,0.050126,0.050126,0.000000,0.000000,1,1,6,27474,6,393,0,ninguno,0,,0.000000,0.480200,0,0.000007
