marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms
1788314082.968828,192.168.18.22,192.168.18.8,5900,40979,6,0.001000,1,0,80,0,1000.000000,64,0,80000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,80,0,0,0,ninguno,0,,0.000000,0.349500
1788314082.970272,192.168.18.22,192.168.18.8,5900,40979,6,0.001000,1,0,7354,0,1000.000000,64,0,7354000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,2,7434,0,0,0,ninguno,0,,0.000000,0.304800
1788314082.970425,192.168.18.22,192.168.18.8,5900,40979,6,0.001000,1,0,5894,0,1000.000000,64,0,5894000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,3,13328,0,0,0,ninguno,0,,0.000000,0.085600
1788314082.970681,192.168.18.8,192.168.18.22,40979,5900,6,0.002048,1,0,60,0,488.391244,128,0,29303.474616,0.000000,0.002048,0.002048,0.000000,0.000000,1,1,3,13328,1,60,0,ninguno,0,,0.000000,0.204100
1788314082.970826,192.168.18.22,192.168.18.8,5900,40979,6,0.002072,1,0,14654,0,482.714236,64,0,7073694.420071,0.000000,0.002072,0.002072,0.000000,0.000000,1,1,4,27982,1,60,0,ninguno,0,,0.000000,0.089000
1788314082.970960,192.168.18.22,192.168.18.8,5900,40979,6,0.002084,1,0,14654,0,479.952397,64,0,7033222.430026,0.000000,0.002084,0.002084,0.000000,0.000000,1,1,5,42636,1,60,0,ninguno,0,,0.000000,0.083100
1788314082.971089,192.168.18.8,192.168.18.22,40979,5900,6,0.003407,1,0,60,0,293.533767,128,0,17612.026034,0.000000,0.003407,0.003407,0.000000,0.000000,1,1,5,42636,2,120,0,ninguno,0,,0.000000,0.077500
1788314082.971208,192.168.18.22,192.168.18.8,5900,40979,6,0.003416,1,0,14654,0,292.775653,64,0,4290334.414072,0.000000,0.003416,0.003416,0.000000,0.000000,1,1,6,57290,2,120,0,ninguno,0,,0.000000,0.067700
1788314082.971326,192.168.18.8,192.168.18.22,40979,5900,6,0.004037,1,0,60,0,247.685367,128,0,14861.122003,0.000000,0.004037,0.004037,0.000000,0.000000,1,1,6,57290,3,180,0,ninguno,0,,0.000000,0.064100
1788314082.971437,192.168.18.22,192.168.18.8,5900,40979,6,0.004040,1,0,14654,0,247.524580,64,0,3627225.188315,0.000000,0.004040,0.004040,0.000000,0.000000,1,1,7,71944,3,180,0,ninguno,0,,0.000000,0.061300
