marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms
1788660980.834598,192.168.18.6,192.168.18.22,3370,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,60,0,0,0,ninguno,0,,0.000000,7.911200
1788660980.852240,192.168.18.6,192.168.18.22,3370,5900,6,0.002963,1,0,93,0,337.488252,128,0,31386.407467,0.000000,0.002963,0.002963,0.000000,0.000000,1,1,2,153,0,0,0,ninguno,0,,0.000000,0.625500
1788660980.853062,192.168.18.22,192.168.18.6,5900,3370,6,0.023311,1,0,80,0,42.898826,64,0,3431.906067,0.000000,0.023311,0.023311,0.000000,0.000000,1,1,2,153,1,80,0,ninguno,0,,0.000000,0.394700
1788660980.855302,192.168.18.22,192.168.18.6,5900,3370,6,0.023411,1,0,14654,0,42.714898,64,0,625944.118379,0.000000,0.023411,0.023411,0.000000,0.000000,1,1,2,153,2,14734,0,ninguno,0,,0.000000,0.892400
1788660980.856416,192.168.18.22,192.168.18.6,5900,3370,6,0.023429,1,0,1860,0,42.681429,64,0,79387.457413,0.000000,0.023429,0.023429,0.000000,0.000000,1,1,2,153,3,16594,0,ninguno,0,,0.000000,0.542500
1788660980.857660,192.168.18.22,192.168.18.6,5900,3370,6,0.023508,1,0,14654,0,42.539443,64,0,623372.997586,0.000000,0.023508,0.023508,0.000000,0.000000,1,1,2,153,4,31248,0,ninguno,0,,0.000000,0.518100
1788660980.858505,192.168.18.22,192.168.18.6,5900,3370,6,0.023528,1,0,1860,0,42.502371,64,0,79054.410441,0.000000,0.023528,0.023528,0.000000,0.000000,1,1,2,153,5,33108,0,ninguno,0,,0.000000,0.473300
1788660980.859310,192.168.18.22,192.168.18.6,5900,3370,6,0.023605,1,0,14654,0,42.363712,64,0,620797.830618,0.000000,0.023605,0.023605,0.000000,0.000000,1,1,2,153,6,47762,0,ninguno,0,,0.000000,0.421900
1788660980.860375,192.168.18.22,192.168.18.6,5900,3370,6,0.023672,1,0,14654,0,42.244667,64,0,619053.349072,0.000000,0.023672,0.023672,0.000000,0.000000,1,1,2,153,7,62416,0,ninguno,0,,0.000000,0.589500
1788660980.861666,192.168.18.22,192.168.18.6,5900,3370,6,0.023741,1,0,14654,0,42.122059,64,0,617256.648918,0.000000,0.023741,0.023741,0.000000,0.000000,1,1,2,153,8,77070,0,ninguno,0,,0.000000,0.921500
1788660980.862762,192.168.18.22,192.168.18.6,5900,3370,6,0.023805,1,0,14654,0,42.008153,64,0,615587.468737,0.000000,0.023805,0.023805,0.000000,0.000000,1,1,2,153,9,91724,0,ninguno,0,,0.000000,0.513500
1788660980.863852,192.168.18.22,192.168.18.6,5900,3370,6,0.023854,1,0,7278,0,41.922079,64,0,305108.890675,0.000000,0.023854,0.023854,0.000000,0.000000,1,1,2,153,10,99002,0,ninguno,0,,0.000000,0.464500
1788660980.864774,192.168.18.22,192.168.18.6,5900,3370,6,0.023921,1,0,8814,0,41.804250,64,0,368462.658534,0.000000,0.023921,0.023921,0.000000,0.000000,1,1,2,153,11,107816,0,ninguno,0,,0.000000,0.393400
1788660980.866197,192.168.18.6,192.168.18.22,3370,5900,6,0.024561,1,0,60,0,40.715469,128,0,2442.928117,0.000000,0.024561,0.024561,0.000000,0.000000,1,1,3,213,11,107816,0,ninguno,0,,0.000000,0.871300
1788660980.867419,192.168.18.22,192.168.18.6,5900,3370,6,0.024580,1,0,14654,0,40.682690,64,0,596164.143010,0.000000,0.024580,0.024580,0.000000,0.000000,1,1,3,213,12,122470,0,ninguno,0,,0.000000,0.629700
1788660980.868548,192.168.18.6,192.168.18.22,3370,5900,6,0.024582,1,0,60,0,40.679928,128,0,2440.795694,0.000000,0.024582,0.024582,0.000000,0.000000,1,1,4,273,12,122470,0,ninguno,0,,0.000000,0.609100
1788660980.869700,192.168.18.22,192.168.18.6,5900,3370,6,0.024594,1,0,11734,0,40.660210,64,0,477106.908400,0.000000,0.024594,0.024594,0.000000,0.000000,1,1,4,273,13,134204,0,ninguno,0,,0.000000,0.651100
