marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms
1788575887.837422,192.168.18.9,192.168.18.22,23935,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,60,0,0,0,ninguno,0,,0.000000,0.800800
1788575887.839990,192.168.18.22,192.168.18.9,5900,23935,6,0.001000,1,0,14654,0,1000.000000,64,0,14654000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,60,1,14654,0,ninguno,0,,0.000000,0.602000
1788575887.840556,192.168.18.22,192.168.18.9,5900,23935,6,0.001000,1,0,14654,0,1000.000000,64,0,14654000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,60,2,29308,0,ninguno,0,,0.000000,0.270900
1788575887.841148,192.168.18.9,192.168.18.22,23935,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,2,120,2,29308,0,ninguno,0,,0.000000,0.397700
1788575887.841620,192.168.18.22,192.168.18.9,5900,23935,6,0.001000,1,0,14654,0,1000.000000,64,0,14654000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,2,120,3,43962,0,ninguno,0,,0.000000,0.270200
1788575887.842044,192.168.18.22,192.168.18.9,5900,23935,6,0.001000,1,0,2974,0,1000.000000,64,0,2974000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,2,120,4,46936,0,ninguno,0,,0.000000,0.241100
1788575887.842509,192.168.18.9,192.168.18.22,23935,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,3,180,4,46936,0,ninguno,0,,0.000000,0.284300
1788575887.842982,192.168.18.22,192.168.18.9,5900,23935,6,0.001000,1,0,14654,0,1000.000000,64,0,14654000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,3,180,5,61590,0,ninguno,0,,0.000000,0.293800
1788575887.843435,192.168.18.22,192.168.18.9,5900,23935,6,0.001000,1,0,5894,0,1000.000000,64,0,5894000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,3,180,6,67484,0,ninguno,0,,0.000000,0.247500
1788575887.843878,192.168.18.9,192.168.18.22,23935,5900,6,0.001470,1,0,60,0,680.120642,128,0,40807.238528,0.000000,0.001470,0.001470,0.000000,0.000000,1,1,4,240,6,67484,0,ninguno,0,,0.000000,0.261900
1788575887.844309,192.168.18.22,192.168.18.9,5900,23935,6,0.001473,1,0,14654,0,679.019589,64,0,9950353.054233,0.000000,0.001473,0.001473,0.000000,0.000000,1,1,4,240,7,82138,0,ninguno,0,,0.000000,0.247300
1788575887.844723,192.168.18.22,192.168.18.9,5900,23935,6,0.001474,1,0,8814,0,678.580165,64,0,5981005.574503,0.000000,0.001474,0.001474,0.000000,0.000000,1,1,4,240,8,90952,0,ninguno,0,,0.000000,0.234400
1788575887.845195,192.168.18.9,192.168.18.22,23935,5900,6,0.001919,1,0,60,0,521.096285,128,0,31265.777115,0.000000,0.001919,0.001919,0.000000,0.000000,1,1,5,300,8,90952,0,ninguno,0,,0.000000,0.287200
1788575887.845928,192.168.18.22,192.168.18.9,5900,23935,6,0.001921,1,0,14654,0,520.514272,64,0,7627616.135021,0.000000,0.001921,0.001921,0.000000,0.000000,1,1,5,300,9,105606,0,ninguno,0,,0.000000,0.296900
1788575887.846397,192.168.18.22,192.168.18.9,5900,23935,6,0.001923,1,0,14654,0,520.126984,64,0,7621940.825397,0.000000,0.001923,0.001923,0.000000,0.000000,1,1,5,300,10,120260,0,ninguno,0,,0.000000,0.256500
1788575887.846880,192.168.18.9,192.168.18.22,23935,5900,6,0.001924,1,0,60,0,519.804685,128,0,31188.281076,0.000000,0.001924,0.001924,0.000000,0.000000,1,1,6,360,10,120260,0,ninguno,0,,0.000000,0.286700
1788575887.847375,192.168.18.9,192.168.18.22,23935,5900,6,0.001925,1,0,60,0,519.482784,128,0,31168.967055,0.000000,0.001925,0.001925,0.000000,0.000000,1,1,7,420,10,120260,0,ninguno,0,,0.000000,0.255200
1788575887.847833,192.168.18.22,192.168.18.9,5900,23935,6,0.001926,1,0,11734,0,519.161282,64,0,6091838.486941,0.000000,0.001926,0.001926,0.000000,0.000000,1,1,7,420,11,131994,0,ninguno,0,,0.000000,0.259300
1788575887.848355,192.168.18.9,192.168.18.22,23935,5900,6,0.002362,1,0,60,0,423.410458,128,0,25404.627498,0.000000,0.002362,0.002362,0.000000,0.000000,1,1,8,480,11,131994,0,ninguno,0,,0.000000,0.242500
1788575887.848804,192.168.18.22,192.168.18.9,5900,23935,6,0.002364,1,0,14654,0,423.026122,64,0,6199024.792335,0.000000,0.002364,0.002364,0.000000,0.000000,1,1,8,480,12,146648,0,ninguno,0,,0.000000,0.246600
1788575887.849288,192.168.18.22,192.168.18.9,5900,23935,6,0.002365,1,0,8814,0,422.770285,64,0,3726297.294224,0.000000,0.002365,0.002365,0.000000,0.000000,1,1,8,480,13,155462,0,ninguno,0,,0.000000,0.258700
1788575887.849727,192.168.18.9,192.168.18.22,23935,5900,6,0.002367,1,0,60,0,422.557324,128,0,25353.439452,0.000000,0.002367,0.002367,0.000000,0.000000,1,1,9,540,13,155462,0,ninguno,0,,0.000000,0.238900
1788575887.850167,192.168.18.22,192.168.18.9,5900,23935,6,0.002368,1,0,14654,0,422.302054,64,0,6188414.298832,0.000000,0.002368,0.002368,0.000000,0.000000,1,1,9,540,14,170116,0,ninguno,0,,0.000000,0.246400
1788575887.850607,192.168.18.9,192.168.18.22,23935,5900,6,0.002369,1,0,60,0,422.089564,128,0,25325.373855,0.000000,0.002369,0.002369,0.000000,0.000000,1,1,10,600,14,170116,0,ninguno,0,,0.000000,0.246600
1788575887.851071,192.168.18.22,192.168.18.9,5900,23935,6,0.002565,1,0,6044,0,389.841435,64,0,2356201.633609,0.000000,0.002565,0.002565,0.000000,0.000000,1,1,10,600,15,176160,0,ninguno,0,,0.000000,0.267900
1788575887.880066,192.168.18.9,192.168.18.22,23935,5900,6,0.006427,1,0,60,0,155.592388,128,0,9335.543273,0.000000,0.006427,0.006427,0.000000,0.000000,1,1,11,660,15,176160,0,ninguno,0,,0.000000,0.679000
1788575887.880808,192.168.18.9,192.168.18.22,23935,5900,6,0.006430,1,0,60,0,155.511624,128,0,9330.697416,0.000000,0.006430,0.006430,0.000000,0.000000,1,1,12,720,15,176160,0,ninguno,0,,0.000000,0.356700
1788575887.881487,192.168.18.9,192.168.18.22,23935,5900,6,0.006432,1,0,60,0,155.471273,128,0,9328.276373,0.000000,0.006432,0.006432,0.000000,0.000000,1,1,13,780,15,176160,0,ninguno,0,,0.000000,0.336800
1788575887.882154,192.168.18.9,192.168.18.22,23935,5900,6,0.006434,1,0,60,0,155.430943,128,0,9325.856587,0.000000,0.006434,0.006434,0.000000,0.000000,1,1,14,840,15,176160,0,ninguno,0,,0.000000,0.341600
1788575887.882799,192.168.18.9,192.168.18.22,23935,5900,6,0.006435,1,0,60,0,155.396391,128,0,9323.783483,0.000000,0.006435,0.006435,0.000000,0.000000,1,1,15,900,15,176160,0,ninguno,0,,0.000000,0.334300
1788575887.883472,192.168.18.9,192.168.18.22,23935,5900,6,0.006437,1,0,60,0,155.350346,128,0,9321.020779,0.000000,0.006437,0.006437,0.000000,0.000000,1,1,16,960,15,176160,0,ninguno,0,,0.000000,0.362800
1788575887.884125,192.168.18.9,192.168.18.22,23935,5900,6,0.006438,1,0,60,0,155.315830,128,0,9318.949824,0.000000,0.006438,0.006438,0.000000,0.000000,1,1,17,1020,15,176160,0,ninguno,0,,0.000000,0.339200
1788575887.884780,192.168.18.9,192.168.18.22,23935,5900,6,0.006440,1,0,60,0,155.275581,128,0,9316.534873,0.000000,0.006440,0.006440,0.000000,0.000000,1,1,18,1080,15,176160,0,ninguno,0,,0.000000,0.342700
1788575887.885444,192.168.18.9,192.168.18.22,23935,5900,6,0.006442,1,0,60,0,155.241099,128,0,9314.465912,0.000000,0.006442,0.006442,0.000000,0.000000,1,1,19,1140,15,176160,0,ninguno,0,,0.000000,0.352800
1788575887.886100,192.168.18.9,192.168.18.22,23935,5900,6,0.006443,1,0,60,0,155.212375,128,0,9312.742479,0.000000,0.006443,0.006443,0.000000,0.000000,1,1,20,1200,15,176160,0,ninguno,0,,0.000000,0.342400
1788575887.886754,192.168.18.9,192.168.18.22,23935,5900,6,0.006444,1,0,60,0,155.172179,128,0,9310.330744,0.000000,0.006444,0.006444,0.000000,0.000000,1,1,21,1260,15,176160,0,ninguno,0,,0.000000,0.341900
1788575887.887522,192.168.18.9,192.168.18.22,23935,5900,6,0.006446,1,0,60,0,155.143481,128,0,9308.608840,0.000000,0.006446,0.006446,0.000000,0.000000,1,1,22,1320,15,176160,0,ninguno,0,,0.000000,0.364500
1788575887.888184,192.168.18.9,192.168.18.22,23935,5900,6,0.018046,1,0,60,0,55.412778,128,0,3324.766686,0.000000,0.018046,0.018046,0.000000,0.000000,1,1,23,1380,15,176160,0,ninguno,0,,0.000000,0.336800
1788575887.888982,192.168.18.9,192.168.18.22,23935,5900,6,0.019304,1,0,93,0,51.801996,128,0,4817.585614,0.000000,0.019304,0.019304,0.000000,0.000000,1,1,24,1473,15,176160,0,ninguno,0,,0.000000,0.384500
1788575887.889763,192.168.18.22,192.168.18.9,5900,23935,6,0.042636,1,0,80,0,23.454272,64,0,1876.341757,0.000000,0.042636,0.042636,0.000000,0.000000,1,1,24,1473,16,176240,0,ninguno,0,,0.000000,0.447800
1788575887.890434,192.168.18.22,192.168.18.9,5900,23935,6,0.042728,1,0,14654,0,23.403625,64,0,342956.716007,0.000000,0.042728,0.042728,0.000000,0.000000,1,1,24,1473,17,190894,0,ninguno,0,,0.000000,0.343100
1788575887.891109,192.168.18.22,192.168.18.9,5900,23935,6,0.042745,1,0,1860,0,23.394487,64,0,43513.745859,0.000000,0.042745,0.042745,0.000000,0.000000,1,1,24,1473,18,192754,0,ninguno,0,,0.000000,0.360800
1788575887.891959,192.168.18.22,192.168.18.9,5900,23935,6,0.042826,1,0,14654,0,23.350335,64,0,342175.815260,0.000000,0.042826,0.042826,0.000000,0.000000,1,1,24,1473,19,207408,0,ninguno,0,,0.000000,0.495600
1788575887.893605,192.168.18.22,192.168.18.9,5900,23935,6,0.042847,1,0,1860,0,23.338901,64,0,43410.356735,0.000000,0.042847,0.042847,0.000000,0.000000,1,1,24,1473,20,209268,0,ninguno,0,,0.000000,0.497600
1788575887.895128,192.168.18.22,192.168.18.9,5900,23935,6,0.042923,1,0,14654,0,23.297418,64,0,341400.358912,0.000000,0.042923,0.042923,0.000000,0.000000,1,1,24,1473,21,223922,0,ninguno,0,,0.000000,0.497500
1788575887.896587,192.168.18.22,192.168.18.9,5900,23935,6,0.042989,1,0,14654,0,23.261627,64,0,340875.884954,0.000000,0.042989,0.042989,0.000000,0.000000,1,1,24,1473,22,238576,0,ninguno,0,,0.000000,0.381700
1788575887.898477,192.168.18.22,192.168.18.9,5900,23935,6,0.043057,1,0,14654,0,23.224918,64,0,340337.943000,0.000000,0.043057,0.043057,0.000000,0.000000,1,1,24,1473,23,253230,0,ninguno,0,,0.000000,1.177600
1788575887.899227,192.168.18.22,192.168.18.9,5900,23935,6,0.043119,1,0,14654,0,23.191529,64,0,339848.667806,0.000000,0.043119,0.043119,0.000000,0.000000,1,1,24,1473,24,267884,0,ninguno,0,,0.000000,0.385200
1788575887.900081,192.168.18.22,192.168.18.9,5900,23935,6,0.043190,1,0,7278,0,23.153634,64,0,168512.150151,0.000000,0.043190,0.043190,0.000000,0.000000,1,1,24,1473,25,275162,0,ninguno,0,,0.000000,0.385100
1788575887.901022,192.168.18.22,192.168.18.9,5900,23935,6,0.043232,1,0,5894,0,23.130906,64,0,136333.558206,0.000000,0.043232,0.043232,0.000000,0.000000,1,1,24,1473,26,281056,0,ninguno,0,,0.000000,0.591300
1788575887.921613,192.168.18.9,192.168.18.22,23935,5900,6,0.044008,1,0,60,0,22.722886,128,0,1363.373189,0.000000,0.044008,0.044008,0.000000,0.000000,1,1,25,1533,26,281056,0,ninguno,0,,0.000000,0.688400
1788575887.922502,192.168.18.22,192.168.18.9,5900,23935,6,0.044011,1,0,2974,0,22.721409,64,0,67573.471378,0.000000,0.044011,0.044011,0.000000,0.000000,1,1,25,1533,27,284030,0,ninguno,0,,0.000000,0.441900
1788575887.923524,192.168.18.9,192.168.18.22,23935,5900,6,0.044013,1,0,60,0,22.720425,128,0,1363.225481,0.000000,0.044013,0.044013,0.000000,0.000000,1,1,26,1593,27,284030,0,ninguno,0,,0.000000,0.664000
1788575887.925117,192.168.18.22,192.168.18.9,5900,23935,6,0.044015,1,0,5894,0,22.719686,64,0,133909.830812,0.000000,0.044015,0.044015,0.000000,0.000000,1,1,26,1593,28,289924,0,ninguno,0,,0.000000,0.411400
1788575887.926291,192.168.18.9,192.168.18.22,23935,5900,6,0.044016,1,0,60,0,22.719071,128,0,1363.144256,0.000000,0.044016,0.044016,0.000000,0.000000,1,1,27,1653,28,289924,0,ninguno,0,,0.000000,0.827300
1788575887.927189,192.168.18.22,192.168.18.9,5900,23935,6,0.044018,1,0,14654,0,22.718210,64,0,332912.642607,0.000000,0.044018,0.044018,0.000000,0.000000,1,1,27,1653,29,304578,0,ninguno,0,,0.000000,0.538700
1788575887.927914,192.168.18.9,192.168.18.22,23935,5900,6,0.044019,1,0,60,0,22.717717,128,0,1363.063041,0.000000,0.044019,0.044019,0.000000,0.000000,1,1,28,1713,29,304578,0,ninguno,0,,0.000000,0.366100
1788575887.929040,192.168.18.9,192.168.18.22,23935,5900,6,0.044020,1,0,60,0,22.716856,128,0,1363.011363,0.000000,0.044020,0.044020,0.000000,0.000000,1,1,29,1773,29,304578,0,ninguno,0,,0.000000,0.803200
1788575887.931454,192.168.18.9,192.168.18.22,23935,5900,6,0.045732,1,0,60,0,21.866517,128,0,1311.990991,0.000000,0.045732,0.045732,0.000000,0.000000,1,1,30,1833,29,304578,0,ninguno,0,,0.000000,1.561500
1788575887.932979,192.168.18.22,192.168.18.9,5900,23935,6,0.045739,1,0,14654,0,21.863211,64,0,320383.494920,0.000000,0.045739,0.045739,0.000000,0.000000,1,1,30,1833,30,319232,0,ninguno,0,,0.000000,0.608400
1788575887.934156,192.168.18.9,192.168.18.22,23935,5900,6,0.045741,1,0,60,0,21.862413,128,0,1311.744801,0.000000,0.045741,0.045741,0.000000,0.000000,1,1,31,1893,30,319232,0,ninguno,0,,0.000000,0.417800
1788575887.935356,192.168.18.22,192.168.18.9,5900,23935,6,0.045753,1,0,14654,0,21.856261,64,0,320281.655494,0.000000,0.045753,0.045753,0.000000,0.000000,1,1,31,1893,31,333886,0,ninguno,0,,0.000000,0.413500
1788575887.936249,192.168.18.9,192.168.18.22,23935,5900,6,0.045755,1,0,60,0,21.855692,128,0,1311.341521,0.000000,0.045755,0.045755,0.000000,0.000000,1,1,32,1953,31,333886,0,ninguno,0,,0.000000,0.562500
1788575887.937015,192.168.18.22,192.168.18.9,5900,23935,6,0.045771,1,0,14654,0,21.847723,64,0,320156.531787,0.000000,0.045771,0.045771,0.000000,0.000000,1,1,32,1953,32,348540,0,ninguno,0,,0.000000,0.398400
1788575887.938301,192.168.18.22,192.168.18.9,5900,23935,6,0.045784,1,0,14654,0,21.841807,64,0,320069.836724,0.000000,0.045784,0.045784,0.000000,0.000000,1,1,32,1953,33,363194,0,ninguno,0,,0.000000,0.747500
1788575887.939694,192.168.18.9,192.168.18.22,23935,5900,6,0.045785,1,0,60,0,21.841124,128,0,1310.467462,0.000000,0.045785,0.045785,0.000000,0.000000,1,1,33,2013,33,363194,0,ninguno,0,,0.000000,0.954900
1788575887.940767,192.168.18.9,192.168.18.22,23935,5900,6,0.045786,1,0,60,0,21.840556,128,0,1310.433343,0.000000,0.045786,0.045786,0.000000,0.000000,1,1,34,2073,33,363194,0,ninguno,0,,0.000000,0.543000
1788575887.941615,192.168.18.22,192.168.18.9,5900,23935,6,0.045804,1,0,8217,0,21.832257,64,0,179395.653478,0.000000,0.045804,0.045804,0.000000,0.000000,1,1,34,2073,34,371411,0,ninguno,0,,0.000000,0.420900
1788575887.942436,192.168.18.9,192.168.18.22,23935,5900,6,0.046301,1,0,60,0,21.597969,128,0,1295.878146,0.000000,0.046301,0.046301,0.000000,0.000000,1,1,35,2133,34,371411,0,ninguno,0,,0.000000,0.437800
1788575887.943380,192.168.18.9,192.168.18.22,23935,5900,6,0.046302,1,0,60,0,21.597413,128,0,1295.844782,0.000000,0.046302,0.046302,0.000000,0.000000,1,1,36,2193,34,371411,0,ninguno,0,,0.000000,0.385600
1788575887.944059,192.168.18.9,192.168.18.22,23935,5900,6,0.046309,1,0,60,0,21.593855,128,0,1295.631294,0.000000,0.046309,0.046309,0.000000,0.000000,1,1,37,2253,34,371411,0,ninguno,0,,0.000000,0.357100
1788575887.944716,192.168.18.9,192.168.18.22,23935,5900,6,0.047089,1,0,60,0,21.236230,128,0,1274.173776,0.000000,0.047089,0.047089,0.000000,0.000000,1,1,38,2313,34,371411,0,ninguno,0,,0.000000,0.332800
