marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms,veredicto_ia_es_amenaza,veredicto_ia_confianza
1789176282.785800,192.168.18.5,192.168.18.22,35108,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,60,0,0,0,ninguno,0,,0.000000,1.243100,0,0.000080
1789176282.788822,192.168.18.5,192.168.18.22,35108,5900,6,0.002111,1,0,93,0,473.772055,128,0,44060.801084,0.000000,0.002111,0.002111,0.000000,0.000000,1,1,2,153,0,0,0,ninguno,0,,0.000000,1.026800,0,0.000052
1789176282.790866,192.168.18.22,192.168.18.5,5900,35108,6,0.037270,1,0,80,0,26.831525,64,0,2146.522006,0.000000,0.037270,0.037270,0.000000,0.000000,1,1,2,153,1,80,0,ninguno,0,,0.000000,1.362200,0,0.000215
1789176282.792431,192.168.18.22,192.168.18.5,5900,35108,6,0.037354,1,0,14654,0,26.770900,64,0,392300.769853,0.000000,0.037354,0.037354,0.000000,0.000000,1,1,2,153,2,14734,0,ninguno,0,,0.000000,1.156100,0,0.000342
1789176282.794066,192.168.18.22,192.168.18.5,5900,35108,6,0.037367,1,0,1860,0,26.761335,64,0,49776.082690,0.000000,0.037367,0.037367,0.000000,0.000000,1,1,2,153,3,16594,0,ninguno,0,,0.000000,1.146500,0,0.000342
1789176282.795504,192.168.18.22,192.168.18.5,5900,35108,6,0.037442,1,0,14654,0,26.707827,64,0,391376.498408,0.000000,0.037442,0.037442,0.000000,0.000000,1,1,2,153,4,31248,0,ninguno,0,,0.000000,0.723200,0,0.000224
1789176282.796889,192.168.18.22,192.168.18.5,5900,35108,6,0.037462,1,0,1860,0,26.693719,64,0,49650.317514,0.000000,0.037462,0.037462,0.000000,0.000000,1,1,2,153,5,33108,0,ninguno,0,,0.000000,0.828500,0,0.000224
1789176282.801114,192.168.18.22,192.168.18.5,5900,35108,6,0.037536,1,0,14654,0,26.641158,64,0,390399.530072,0.000000,0.037536,0.037536,0.000000,0.000000,1,1,2,153,6,47762,0,ninguno,0,,0.000000,3.820600,0,0.000117
1789176282.802766,192.168.18.22,192.168.18.5,5900,35108,6,0.037601,1,0,14654,0,26.594704,64,0,389718.796388,0.000000,0.037601,0.037601,0.000000,0.000000,1,1,2,153,7,62416,0,ninguno,0,,0.000000,0.941000,0,0.000117
1789176282.803799,192.168.18.22,192.168.18.5,5900,35108,6,0.037668,1,0,14654,0,26.548076,64,0,389035.507637,0.000000,0.037668,0.037668,0.000000,0.000000,1,1,2,153,8,77070,0,ninguno,0,,0.000000,0.640000,0,0.000117
1789176282.804748,192.168.18.22,192.168.18.5,5900,35108,6,0.037727,1,0,14654,0,26.506468,64,0,388425.784210,0.000000,0.037727,0.037727,0.000000,0.000000,1,1,2,153,9,91724,0,ninguno,0,,0.000000,0.605800,0,0.000117
1789176282.806304,192.168.18.22,192.168.18.5,5900,35108,6,0.037790,1,0,14654,0,26.462319,64,0,387778.820424,0.000000,0.037790,0.037790,0.000000,0.000000,1,1,2,153,10,106378,0,ninguno,0,,0.000000,0.925200,0,0.000117
1789176282.807540,192.168.18.22,192.168.18.5,5900,35108,6,0.037798,1,0,9084,0,26.456477,64,0,240330.634909,0.000000,0.037798,0.037798,0.000000,0.000000,1,1,2,153,11,115462,0,ninguno,0,,0.000000,0.682900,0,0.000117
1789176282.808487,192.168.18.22,192.168.18.5,5900,35108,6,0.037851,1,0,14654,0,26.419648,64,0,387153.516481,0.000000,0.037851,0.037851,0.000000,0.000000,1,1,2,153,12,130116,0,ninguno,0,,0.000000,0.597800,0,0.000117
1789176282.809529,192.168.18.22,192.168.18.5,5900,35108,6,0.037853,1,0,272,0,26.417651,64,0,7185.601018,0.000000,0.037853,0.037853,0.000000,0.000000,1,1,2,153,13,130388,0,ninguno,0,,0.000000,0.707900,0,0.000117
1789176282.811443,192.168.18.5,192.168.18.22,35108,5900,6,0.038141,1,0,60,0,26.218497,128,0,1573.109798,0.000000,0.038141,0.038141,0.000000,0.000000,1,1,3,213,13,130388,0,ninguno,0,,0.000000,1.264700,0,0.007064
1789176282.812889,192.168.18.22,192.168.18.5,5900,35108,6,0.038162,1,0,93,0,26.204082,64,0,2436.979639,0.000000,0.038162,0.038162,0.000000,0.000000,1,1,3,213,14,130481,0,ninguno,0,,0.000000,0.989200,0,0.000643
1789176282.814173,192.168.18.5,192.168.18.22,35108,5900,6,0.038170,1,0,60,0,26.198681,128,0,1571.920847,0.000000,0.038170,0.038170,0.000000,0.000000,1,1,4,273,14,130481,0,ninguno,0,,0.000000,0.798700,0,0.012485
1789176282.815145,192.168.18.5,192.168.18.22,35108,5900,6,0.038757,1,0,60,0,25.801892,128,0,1548.113535,0.000000,0.038757,0.038757,0.000000,0.000000,1,1,5,333,14,130481,0,ninguno,0,,0.000000,0.618900,0,0.007969
1789176282.816296,192.168.18.5,192.168.18.22,35108,5900,6,0.038759,1,0,60,0,25.800623,128,0,1548.037351,0.000000,0.038759,0.038759,0.000000,0.000000,1,1,6,393,14,130481,0,ninguno,0,,0.000000,0.649000,0,0.018315
1789176282.817389,192.168.18.5,192.168.18.22,35108,5900,6,0.039354,1,0,60,0,25.410630,128,0,1524.637801,0.000000,0.039354,0.039354,0.000000,0.000000,1,1,7,453,14,130481,0,ninguno,0,,0.000000,0.750700,0,0.009639
1789176282.821124,192.168.18.5,192.168.18.22,35108,5900,6,0.039355,1,0,60,0,25.409706,128,0,1524.582382,0.000000,0.039355,0.039355,0.000000,0.000000,1,1,8,513,14,130481,0,ninguno,0,,0.000000,3.211100,0,0.009091
