marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms,veredicto_ia_es_amenaza,veredicto_ia_confianza
1789172361.958492,192.168.18.22,192.168.18.5,5900,35108,6,0.001000,1,0,80,0,1000.000000,64,0,80000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,80,0,0,0,ninguno,0,,0.000000,1.143400,0,0.000118
1789172361.963506,192.168.18.22,192.168.18.5,5900,35108,6,0.001000,1,0,14654,0,1000.000000,64,0,14654000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,2,14734,0,0,0,ninguno,0,,0.000000,1.696200,0,0.000044
1789172361.964649,192.168.18.22,192.168.18.5,5900,35108,6,0.001000,1,0,1860,0,1000.000000,64,0,1860000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,3,16594,0,0,0,ninguno,0,,0.000000,0.672300,0,0.000047
1789172361.965968,192.168.18.22,192.168.18.5,5900,35108,6,0.001000,1,0,14654,0,1000.000000,64,0,14654000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,4,31248,0,0,0,ninguno,0,,0.000000,0.666100,0,0.000070
1789172361.966936,192.168.18.22,192.168.18.5,5900,35108,6,0.001000,1,0,1860,0,1000.000000,64,0,1860000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,5,33108,0,0,0,ninguno,0,,0.000000,0.607200,0,0.000070
1789172361.967927,192.168.18.22,192.168.18.5,5900,35108,6,0.001000,1,0,2974,0,1000.000000,64,0,2974000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,6,36082,0,0,0,ninguno,0,,0.000000,0.652900,0,0.000076
1789172361.969087,192.168.18.5,192.168.18.22,35108,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,6,36082,1,60,0,ninguno,0,,0.000000,0.821600,0,0.003030
1789172361.970074,192.168.18.22,192.168.18.5,5900,35108,6,0.001000,1,0,5894,0,1000.000000,64,0,5894000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,7,41976,1,60,0,ninguno,0,,0.000000,0.652600,0,0.000036
1789172361.971021,192.168.18.5,192.168.18.22,35108,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,7,41976,2,120,0,ninguno,0,,0.000000,0.608200,0,0.005301
1789172361.972124,192.168.18.22,192.168.18.5,5900,35108,6,0.001000,1,0,8814,0,1000.000000,64,0,8814000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,8,50790,2,120,0,ninguno,0,,0.000000,0.666200,0,0.000057
1789172361.973094,192.168.18.5,192.168.18.22,35108,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,8,50790,3,180,0,ninguno,0,,0.000000,0.620700,0,0.005932
1789172361.974066,192.168.18.22,192.168.18.5,5900,35108,6,0.001000,1,0,2974,0,1000.000000,64,0,2974000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,9,53764,3,180,0,ninguno,0,,0.000000,0.632500,0,0.000063
1789172361.975072,192.168.18.5,192.168.18.22,35108,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,9,53764,4,240,0,ninguno,0,,0.000000,0.662800,0,0.008553
1789172361.976055,192.168.18.22,192.168.18.5,5900,35108,6,0.001000,1,0,5894,0,1000.000000,64,0,5894000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,10,59658,4,240,0,ninguno,0,,0.000000,0.648300,0,0.000080
1789172361.977315,192.168.18.5,192.168.18.22,35108,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,10,59658,5,300,0,ninguno,0,,0.000000,0.643300,0,0.011258
1789172361.978289,192.168.18.22,192.168.18.5,5900,35108,6,0.001000,1,0,5894,0,1000.000000,64,0,5894000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,11,65552,5,300,0,ninguno,0,,0.000000,0.640700,0,0.000106
1789172361.979252,192.168.18.5,192.168.18.22,35108,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,11,65552,6,360,0,ninguno,0,,0.000000,0.632200,0,0.011464
1789172361.980281,192.168.18.22,192.168.18.5,5900,35108,6,0.001000,1,0,8814,0,1000.000000,64,0,8814000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,12,74366,6,360,0,ninguno,0,,0.000000,0.629800,0,0.000104
1789172361.981256,192.168.18.5,192.168.18.22,35108,5900,6,0.001116,1,0,60,0,895.835968,128,0,53750.158052,0.000000,0.001116,0.001116,0.000000,0.000000,1,1,12,74366,7,420,0,ninguno,0,,0.000000,0.636400,0,0.013294
1789172361.982478,192.168.18.5,192.168.18.22,35108,5900,6,0.001118,1,0,60,0,894.689420,128,0,53681.365188,0.000000,0.001118,0.001118,0.000000,0.000000,1,1,12,74366,8,480,0,ninguno,0,,0.000000,0.899200,0,0.013294
1789172361.983473,192.168.18.22,192.168.18.5,5900,35108,6,0.001126,1,0,8814,0,888.059284,64,0,7827354.532289,0.000000,0.001126,0.001126,0.000000,0.000000,1,1,13,83180,8,480,0,ninguno,0,,0.000000,0.629600,0,0.000121
1789172361.984459,192.168.18.5,192.168.18.22,35108,5900,6,0.001127,1,0,60,0,886.932544,128,0,53215.952633,0.000000,0.001127,0.001127,0.000000,0.000000,1,1,13,83180,9,540,0,ninguno,0,,0.000000,0.659200,0,0.013294
1789172361.985417,192.168.18.5,192.168.18.22,35108,5900,6,0.001129,1,0,60,0,885.808659,128,0,53148.519535,0.000000,0.001129,0.001129,0.000000,0.000000,1,1,13,83180,10,600,0,ninguno,0,,0.000000,0.628400,0,0.015818
1789172361.986396,192.168.18.22,192.168.18.5,5900,35108,6,0.001137,1,0,11734,0,879.677852,64,0,10322139.919463,0.000000,0.001137,0.001137,0.000000,0.000000,1,1,14,94914,10,600,0,ninguno,0,,0.000000,0.655600,0,0.000145
1789172361.987338,192.168.18.5,192.168.18.22,35108,5900,6,0.001138,1,0,60,0,878.572266,128,0,52714.335987,0.000000,0.001138,0.001138,0.000000,0.000000,1,1,14,94914,11,660,0,ninguno,0,,0.000000,0.615100,0,0.015818
1789172362.008201,192.168.18.5,192.168.18.22,35108,5900,6,0.004539,1,0,60,0,220.300646,128,0,13218.038763,0.000000,0.004539,0.004539,0.000000,0.000000,1,1,14,94914,12,720,0,ninguno,0,,0.000000,1.643600,0,0.016515
1789172362.009342,192.168.18.22,192.168.18.5,5900,35108,6,0.004542,1,0,14654,0,220.150325,64,0,3226082.868780,0.000000,0.004542,0.004542,0.000000,0.000000,1,1,15,109568,12,720,0,ninguno,0,,0.000000,0.727400,0,0.000239
1789172362.010329,192.168.18.5,192.168.18.22,35108,5900,6,0.004544,1,0,60,0,220.069468,128,0,13204.168110,0.000000,0.004544,0.004544,0.000000,0.000000,1,1,15,109568,13,780,0,ninguno,0,,0.000000,0.652500,0,0.009343
1789172362.011292,192.168.18.5,192.168.18.22,35108,5900,6,0.004546,1,0,60,0,219.988671,128,0,13199.320256,0.000000,0.004546,0.004546,0.000000,0.000000,1,1,15,109568,14,840,0,ninguno,0,,0.000000,0.630700,0,0.009343
1789172362.012269,192.168.18.5,192.168.18.22,35108,5900,6,0.004547,1,0,60,0,219.919463,128,0,13195.167785,0.000000,0.004547,0.004547,0.000000,0.000000,1,1,15,109568,15,900,0,ninguno,0,,0.000000,0.652700,0,0.009343
