marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms,veredicto_ia_es_amenaza,veredicto_ia_confianza
1789175900.739812,192.168.18.5,192.168.18.22,35108,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,60,0,0,0,ninguno,0,,0.000000,1.601300,0,0.000080
1789175900.745403,192.168.18.22,192.168.18.5,5900,35108,6,0.001000,1,0,11734,0,1000.000000,64,0,11734000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,60,1,11734,0,ninguno,0,,0.000000,1.211400,0,0.000170
1789175900.746899,192.168.18.5,192.168.18.22,35108,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,2,120,1,11734,0,ninguno,0,,0.000000,1.005800,0,0.000122
1789175900.747928,192.168.18.22,192.168.18.5,5900,35108,6,0.001000,1,0,11734,0,1000.000000,64,0,11734000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,2,120,2,23468,0,ninguno,0,,0.000000,0.696800,0,0.000057
1789175900.748917,192.168.18.5,192.168.18.22,35108,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,3,180,2,23468,0,ninguno,0,,0.000000,0.659600,0,0.001759
1789175900.749849,192.168.18.22,192.168.18.5,5900,35108,6,0.001000,1,0,300,0,1000.000000,64,0,300000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,3,180,3,23768,0,ninguno,0,,0.000000,0.610800,0,0.000131
1789175900.750812,192.168.18.5,192.168.18.22,35108,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,4,240,3,23768,0,ninguno,0,,0.000000,0.640400,0,0.006118
1789175900.751769,192.168.18.5,192.168.18.22,35108,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,5,300,3,23768,0,ninguno,0,,0.000000,0.636300,0,0.007851
1789175900.752735,192.168.18.5,192.168.18.22,35108,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,6,360,3,23768,0,ninguno,0,,0.000000,0.645000,0,0.010322
1789175900.753705,192.168.18.5,192.168.18.22,35108,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,7,420,3,23768,0,ninguno,0,,0.000000,0.653500,0,0.005412
