marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms,veredicto_ia_es_amenaza,veredicto_ia_confianza,veredicto_ia_tipo,conexiones_origen_5s,puertos_distintos_origen_5s,ips_distintas_origen_60s,conexiones_mismo_destino_300s
1789474672.680084,192.168.18.22,192.168.18.4,5900,63848,6,0.001000,1,0,80,0,1000.000000,64,0,80000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,80,0,0,0,ninguno,0,,0.000000,7.077400,0,0.999234,benigno,0,0,0,0
1789474672.683535,192.168.18.22,192.168.18.4,5900,63848,6,0.001000,1,0,7354,0,1000.000000,64,0,7354000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,2,7434,0,0,0,ninguno,0,,0.000000,3.255200,0,0.999789,benigno,0,0,0,0
1789474672.685699,192.168.18.22,192.168.18.4,5900,63848,6,0.001000,1,0,5894,0,1000.000000,64,0,5894000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,3,13328,0,0,0,ninguno,0,,0.000000,2.063300,0,0.999594,benigno,0,0,0,0
1789474672.689326,192.168.18.4,192.168.18.22,63848,5900,6,0.001238,1,0,60,0,807.839753,128,0,48470.385208,0.000000,0.001238,0.001238,0.000000,0.000000,1,1,3,13328,1,60,0,ninguno,0,,0.000000,3.548300,0,0.990188,benigno,0,0,0,0
1789474672.691447,192.168.18.22,192.168.18.4,5900,63848,6,0.001276,1,0,14654,0,783.689088,64,0,11484179.898356,0.000000,0.001276,0.001276,0.000000,0.000000,1,1,4,27982,1,60,0,ninguno,0,,0.000000,2.046700,0,0.996786,benigno,0,0,0,0
1789474672.693440,192.168.18.22,192.168.18.4,5900,63848,6,0.001323,1,0,14654,0,755.730450,64,0,11074474.020901,0.000000,0.001323,0.001323,0.000000,0.000000,1,1,5,42636,1,60,0,ninguno,0,,0.000000,1.923500,0,0.996412,benigno,0,0,0,0
1789474672.698016,192.168.18.4,192.168.18.22,63848,5900,6,0.002521,1,0,60,0,396.737041,128,0,23804.222474,0.000000,0.002521,0.002521,0.000000,0.000000,1,1,5,42636,2,120,0,ninguno,0,,0.000000,4.505200,0,0.993177,benigno,0,0,0,0
1789474672.701105,192.168.18.22,192.168.18.4,5900,63848,6,0.002525,1,0,14654,0,396.062701,64,0,5803902.815486,0.000000,0.002525,0.002525,0.000000,0.000000,1,1,6,57290,2,120,0,ninguno,0,,0.000000,2.964100,0,0.996501,benigno,0,0,0,0
1789474672.703254,192.168.18.22,192.168.18.4,5900,63848,6,0.002527,1,0,14654,0,395.801076,64,0,5800068.964424,0.000000,0.002527,0.002527,0.000000,0.000000,1,1,7,71944,2,120,0,ninguno,0,,0.000000,2.026600,0,0.996516,benigno,0,0,0,0
1789474672.706232,192.168.18.4,192.168.18.22,63848,5900,6,0.002528,1,0,60,0,395.577101,128,0,23734.626049,0.000000,0.002528,0.002528,0.000000,0.000000,1,1,7,71944,3,180,0,ninguno,0,,0.000000,2.899100,0,0.993321,benigno,0,0,0,0
1789474672.708516,192.168.18.4,192.168.18.22,63848,5900,6,0.002529,1,0,60,0,395.353379,128,0,23721.202752,0.000000,0.002529,0.002529,0.000000,0.000000,1,1,7,71944,4,240,0,ninguno,0,,0.000000,2.177800,0,0.995574,benigno,0,0,0,0
1789474672.710906,192.168.18.22,192.168.18.4,5900,63848,6,0.002531,1,0,8814,0,395.055477,64,0,3482018.974852,0.000000,0.002531,0.002531,0.000000,0.000000,1,1,8,80758,4,240,0,ninguno,0,,0.000000,2.311500,0,0.994796,benigno,0,0,0,0
1789474672.713100,192.168.18.22,192.168.18.4,5900,63848,6,0.002555,1,0,14654,0,391.369226,64,0,5735124.644583,0.000000,0.002555,0.002555,0.000000,0.000000,1,1,9,95412,4,240,0,ninguno,0,,0.000000,2.111400,0,0.994796,benigno,0,0,0,0
1789474672.715663,192.168.18.4,192.168.18.22,63848,5900,6,0.002845,1,0,60,0,351.458354,128,0,21087.501257,0.000000,0.002845,0.002845,0.000000,0.000000,1,1,9,95412,5,300,0,ninguno,0,,0.000000,2.467600,0,0.994898,benigno,0,0,0,0
1789474672.717828,192.168.18.22,192.168.18.4,5900,63848,6,0.002851,1,0,5894,0,350.811643,64,0,2067683.822014,0.000000,0.002851,0.002851,0.000000,0.000000,1,1,10,101306,5,300,0,ninguno,0,,0.000000,2.086900,0,0.988265,benigno,0,0,0,0
1789474672.720291,192.168.18.4,192.168.18.22,63848,5900,6,0.003366,1,0,60,0,297.110151,128,0,17826.609053,0.000000,0.003366,0.003366,0.000000,0.000000,1,1,10,101306,6,360,0,ninguno,0,,0.000000,2.344800,0,0.997474,benigno,0,0,0,0
1789474672.723026,192.168.18.22,192.168.18.4,5900,63848,6,0.003400,1,0,14654,0,294.130715,64,0,4310191.501823,0.000000,0.003400,0.003400,0.000000,0.000000,1,1,11,115960,6,360,0,ninguno,0,,0.000000,2.653300,0,0.997192,benigno,0,0,0,0
