marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms,veredicto_ia_es_amenaza,veredicto_ia_confianza,veredicto_ia_tipo,conexiones_origen_5s,puertos_distintos_origen_5s,ips_distintas_origen_60s,conexiones_mismo_destino_300s
1789527540.058325,192.168.18.6,192.168.18.22,32103,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,60,0,0,0,ninguno,0,,0.000000,16.200700,0,0.985146,benigno,0,0,0,0
1789527540.067394,192.168.18.6,192.168.18.22,32103,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,2,120,0,0,0,ninguno,0,,0.000000,8.836900,0,0.996199,benigno,0,0,0,0
1789527540.075066,192.168.18.6,192.168.18.22,32103,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,3,180,0,0,0,ninguno,0,,0.000000,7.338800,0,0.978875,benigno,0,0,0,0
1789527540.087030,192.168.18.6,192.168.18.22,32103,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,4,240,0,0,0,ninguno,0,,0.000000,11.840900,0,0.987164,benigno,0,0,0,0
1789527540.098342,192.168.18.6,192.168.18.22,32103,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,5,300,0,0,0,ninguno,0,,0.000000,10.861500,0,0.986931,benigno,0,0,0,0
1789527540.112988,192.168.18.6,192.168.18.22,32103,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,6,360,0,0,0,ninguno,0,,0.000000,14.199300,0,0.988087,benigno,0,0,0,0
1789527540.124593,192.168.18.6,192.168.18.22,32103,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,7,420,0,0,0,ninguno,0,,0.000000,11.162100,0,0.994631,benigno,0,0,0,0
1789527540.136962,192.168.18.6,192.168.18.22,32103,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,8,480,0,0,0,ninguno,0,,0.000000,11.910500,0,0.993709,benigno,0,0,0,0
1789527540.148762,192.168.18.6,192.168.18.22,32103,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,9,540,0,0,0,ninguno,0,,0.000000,11.345700,0,0.996046,benigno,0,0,0,0
1789527540.159369,192.168.18.6,192.168.18.22,32103,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,10,600,0,0,0,ninguno,0,,0.000000,10.137400,0,0.996175,benigno,0,0,0,0
