marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms,veredicto_ia_es_amenaza,veredicto_ia_confianza,veredicto_ia_tipo,conexiones_origen_5s,puertos_distintos_origen_5s,ips_distintas_origen_60s,conexiones_mismo_destino_300s
1789596413.451354,192.168.18.22,192.168.18.7,5900,32741,6,0.001000,1,0,80,0,1000.000000,64,0,80000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,80,0,0,0,ninguno,0,,0.000000,8.998800,0,0.986015,benigno,0,0,0,0
1789596413.456068,192.168.18.22,192.168.18.7,5900,32741,6,0.001000,1,0,13194,0,1000.000000,64,0,13194000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,2,13274,0,0,0,ninguno,0,,0.000000,2.933300,0,0.995529,benigno,0,0,0,0
1789596413.458161,192.168.18.22,192.168.18.7,5900,32741,6,0.001000,1,0,3320,0,1000.000000,64,0,3320000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,3,16594,0,0,0,ninguno,0,,0.000000,2.012300,0,0.988519,benigno,0,0,0,0
1789596413.460426,192.168.18.22,192.168.18.7,5900,32741,6,0.001000,1,0,7354,0,1000.000000,64,0,7354000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,4,23948,0,0,0,ninguno,0,,0.000000,2.193900,0,0.988147,benigno,0,0,0,0
1789596413.462834,192.168.18.7,192.168.18.22,32741,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,4,23948,1,60,0,ninguno,0,,0.000000,2.315900,0,0.998870,benigno,0,0,0,0
1789596413.465006,192.168.18.22,192.168.18.7,5900,32741,6,0.001000,1,0,11734,0,1000.000000,64,0,11734000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,5,35682,1,60,0,ninguno,0,,0.000000,2.085700,0,0.994004,benigno,0,0,0,0
1789596413.467479,192.168.18.7,192.168.18.22,32741,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,5,35682,2,120,0,ninguno,0,,0.000000,2.398600,0,0.999230,benigno,0,0,0,0
1789596413.471033,192.168.18.22,192.168.18.7,5900,32741,6,0.001000,1,0,549,0,1000.000000,64,0,549000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,6,36231,2,120,0,ninguno,0,,0.000000,3.165900,0,0.991646,benigno,0,0,0,0
1789596413.473280,192.168.18.7,192.168.18.22,32741,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,6,36231,3,180,0,ninguno,0,,0.000000,2.152900,0,0.998758,benigno,0,0,0,0
1789596413.476183,192.168.18.7,192.168.18.22,32741,5900,6,0.001000,1,0,60,0,1000.000000,128,0,60000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,6,36231,4,240,0,ninguno,0,,0.000000,2.822800,0,0.998965,benigno,0,0,0,0
1789596413.478534,192.168.18.7,192.168.18.22,32741,5900,6,0.001159,1,0,60,0,863.025514,128,0,51781.530864,0.000000,0.001159,0.001159,0.000000,0.000000,1,1,6,36231,5,300,0,ninguno,0,,0.000000,2.264800,0,0.999321,benigno,0,0,0,0
1789596413.480709,192.168.18.7,192.168.18.22,32741,5900,6,0.001161,1,0,60,0,861.607231,128,0,51696.433854,0.000000,0.001161,0.001161,0.000000,0.000000,1,1,6,36231,6,360,0,ninguno,0,,0.000000,2.107600,0,0.999466,benigno,0,0,0,0
1789596413.482702,192.168.18.7,192.168.18.22,32741,5900,6,0.001162,1,0,60,0,860.370051,128,0,51622.203077,0.000000,0.001162,0.001162,0.000000,0.000000,1,1,6,36231,7,420,0,ninguno,0,,0.000000,1.924200,0,0.999480,benigno,0,0,0,0
1789596413.485165,192.168.18.7,192.168.18.22,32741,5900,6,0.001562,1,0,60,0,640.351756,128,0,38421.105344,0.000000,0.001562,0.001562,0.000000,0.000000,1,1,6,36231,8,480,0,ninguno,0,,0.000000,2.393300,0,0.999460,benigno,0,0,0,0
1789596413.487422,192.168.18.7,192.168.18.22,32741,5900,6,0.001564,1,0,60,0,639.570601,128,0,38374.236048,0.000000,0.001564,0.001564,0.000000,0.000000,1,1,6,36231,9,540,0,ninguno,0,,0.000000,2.173900,0,0.999511,benigno,0,0,0,0
