marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms,veredicto_ia_es_amenaza,veredicto_ia_confianza,veredicto_ia_tipo,conexiones_origen_5s,puertos_distintos_origen_5s,ips_distintas_origen_60s,conexiones_mismo_destino_300s
1789646286.265578,192.168.18.22,192.168.18.7,5900,6520,6,0.001000,1,0,80,0,1000.000000,64,0,80000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,80,0,0,0,ninguno,0,,0.000000,6.742900,0,0.998812,benigno,0,0,0,0
1789646286.269908,192.168.18.22,192.168.18.7,5900,6520,6,0.001000,1,0,14654,0,1000.000000,64,0,14654000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,2,14734,0,0,0,ninguno,0,,0.000000,3.353400,0,0.998198,benigno,0,0,0,0
1789646286.272035,192.168.18.22,192.168.18.7,5900,6520,6,0.001000,1,0,1860,0,1000.000000,64,0,1860000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,3,16594,0,0,0,ninguno,0,,0.000000,2.009300,0,0.998252,benigno,0,0,0,0
1789646286.274629,192.168.18.22,192.168.18.7,5900,6520,6,0.001000,1,0,10274,0,1000.000000,64,0,10274000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,4,26868,0,0,0,ninguno,0,,0.000000,2.520200,0,0.997614,benigno,0,0,0,0
1789646286.277624,192.168.18.7,192.168.18.22,6520,5900,6,0.001547,1,0,60,0,646.371398,128,0,38782.283865,0.000000,0.001547,0.001547,0.000000,0.000000,1,1,4,26868,1,60,0,ninguno,0,,0.000000,2.925200,0,0.999377,benigno,0,0,0,0
1789646286.280035,192.168.18.22,192.168.18.7,5900,6520,6,0.001557,1,0,8052,0,642.214669,64,0,5171112.510795,0.000000,0.001557,0.001557,0.000000,0.000000,1,1,5,34920,1,60,0,ninguno,0,,0.000000,2.330400,0,0.999442,benigno,0,0,0,0
1789646286.282555,192.168.18.7,192.168.18.22,6520,5900,6,0.001559,1,0,60,0,641.527072,128,0,38491.624350,0.000000,0.001559,0.001559,0.000000,0.000000,1,1,5,34920,2,120,0,ninguno,0,,0.000000,2.421000,0,0.999602,benigno,0,0,0,0
1789646286.285337,192.168.18.7,192.168.18.22,6520,5900,6,0.002128,1,0,60,0,469.897378,128,0,28193.842707,0.000000,0.002128,0.002128,0.000000,0.000000,1,1,5,34920,3,180,0,ninguno,0,,0.000000,2.697800,0,0.998913,benigno,0,0,0,0
1789646286.288086,192.168.18.7,192.168.18.22,6520,5900,6,0.002856,1,0,60,0,350.196543,128,0,21011.792602,0.000000,0.002856,0.002856,0.000000,0.000000,1,1,5,34920,4,240,0,ninguno,0,,0.000000,2.679700,0,0.999012,benigno,0,0,0,0
1789646286.290356,192.168.18.7,192.168.18.22,6520,5900,6,0.004019,1,0,93,0,248.831514,128,0,23141.330802,0.000000,0.004019,0.004019,0.000000,0.000000,1,1,5,34920,5,333,0,ninguno,0,,0.000000,2.205100,0,0.998936,benigno,0,0,0,0
1789646286.292922,192.168.18.22,192.168.18.7,5900,6520,6,0.004021,1,0,54,0,248.683980,64,0,13428.934899,0.000000,0.004021,0.004021,0.000000,0.000000,1,1,6,34974,5,333,0,ninguno,0,,0.000000,2.501200,0,0.999534,benigno,0,0,0,0
1789646286.295049,192.168.18.7,192.168.18.22,6520,5900,6,0.010912,1,0,88,0,91.638715,128,0,8064.206948,0.000000,0.010912,0.010912,0.000000,0.000000,1,1,6,34974,6,421,0,ninguno,0,,0.000000,2.037700,0,0.999398,benigno,0,0,0,0
