marca_tiempo_unix,ip_origen,ip_destino,puerto_origen,puerto_destino,protocolo,duracion,paquetes_origen,paquetes_destino,bytes_origen,bytes_destino,tasa_transferencia,ttl_origen,ttl_destino,carga_origen,carga_destino,intervalo_origen,intervalo_destino,fluctuacion_origen,fluctuacion_destino,conteo_servicio_origen,conteo_destino_reciente,orig_pkts_flujo,orig_ip_bytes_flujo,resp_pkts_flujo,resp_ip_bytes_flujo,missed_bytes,clasificador,es_amenaza,etiqueta,confianza,tiempo_respuesta_ms,veredicto_ia_es_amenaza,veredicto_ia_confianza,veredicto_ia_tipo,conexiones_origen_5s,puertos_distintos_origen_5s,ips_distintas_origen_60s,conexiones_mismo_destino_300s
1789697529.695601,192.168.18.22,192.168.18.8,5900,34005,6,0.001000,1,0,80,0,1000.000000,64,0,80000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,1,80,0,0,0,ninguno,0,,0.000000,16.115900,0,0.998891,benigno,0,0,0,0
1789697529.706834,192.168.18.22,192.168.18.8,5900,34005,6,0.001000,1,0,14654,0,1000.000000,64,0,14654000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,2,14734,0,0,0,ninguno,0,,0.000000,10.506600,0,0.997626,benigno,0,0,0,0
1789697529.716483,192.168.18.22,192.168.18.8,5900,34005,6,0.001000,1,0,1860,0,1000.000000,64,0,1860000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,3,16594,0,0,0,ninguno,0,,0.000000,7.664000,0,0.997325,benigno,0,0,0,0
1789697529.726060,192.168.18.22,192.168.18.8,5900,34005,6,0.001000,1,0,14654,0,1000.000000,64,0,14654000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,4,31248,0,0,0,ninguno,0,,0.000000,9.123400,0,0.996170,benigno,0,0,0,0
1789697529.733152,192.168.18.22,192.168.18.8,5900,34005,6,0.001000,1,0,1860,0,1000.000000,64,0,1860000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,5,33108,0,0,0,ninguno,0,,0.000000,6.789100,0,0.995928,benigno,0,0,0,0
1789697529.742299,192.168.18.22,192.168.18.8,5900,34005,6,0.001000,1,0,14654,0,1000.000000,64,0,14654000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,6,47762,0,0,0,ninguno,0,,0.000000,8.649000,0,0.995897,benigno,0,0,0,0
1789697529.751696,192.168.18.22,192.168.18.8,5900,34005,6,0.001000,1,0,5894,0,1000.000000,64,0,5894000.000000,0.000000,0.001000,0.001000,0.000000,0.000000,1,1,7,53656,0,0,0,ninguno,0,,0.000000,8.940100,0,0.995255,benigno,0,0,0,0
1789697529.761321,192.168.18.8,192.168.18.22,34005,5900,6,0.001240,1,0,60,0,806.286813,128,0,48377.208766,0.000000,0.001240,0.001240,0.000000,0.000000,1,1,7,53656,1,60,0,ninguno,0,,0.000000,9.260600,0,0.997860,benigno,0,0,0,0
1789697529.771934,192.168.18.22,192.168.18.8,5900,34005,6,0.001259,1,0,5881,0,794.526236,64,0,4672608.794090,0.000000,0.001259,0.001259,0.000000,0.000000,1,1,8,59537,1,60,0,ninguno,0,,0.000000,10.210600,0,0.997756,benigno,0,0,0,0
1789697529.781438,192.168.18.8,192.168.18.22,34005,5900,6,0.001260,1,0,60,0,793.474082,128,0,47608.444949,0.000000,0.001260,0.001260,0.000000,0.000000,1,1,8,59537,2,120,0,ninguno,0,,0.000000,9.044700,0,0.999198,benigno,0,0,0,0
